,Lat,Lon,Operator,Date
0,38.90133,-77.042395,Bird,2021-05-17
1,38.936529,-77.024483,Bird,2021-05-17
2,38.94434,-77.013687,Bird,2021-05-17
3,38.921319,-76.981779,Bird,2021-05-17
4,38.89973,-77.021554,Bird,2021-05-17
5,38.911164,-77.050853,Bird,2021-05-17
6,38.907334,-77.007922,Bird,2021-05-17
7,38.886272,-76.977208,Bird,2021-05-17
8,38.914802,-77.04602,Bird,2021-05-17
9,38.926628,-77.04129,Bird,2021-05-17
10,38.864166,-77.0121,Bird,2021-05-17
11,38.907721,-77.024522,Bird,2021-05-17
12,38.881457,-77.027098,Bird,2021-05-17
13,38.885732,-76.977447,Bird,2021-05-17
14,38.901283,-76.994744,Bird,2021-05-17
15,38.939346,-77.093972,Bird,2021-05-17
16,38.892264,-77.028305,Bird,2021-05-17
17,38.90231,-77.01693,Bird,2021-05-17
18,38.92773,-77.023185,Bird,2021-05-17
19,38.865202,-76.989578,Bird,2021-05-17
20,38.932518,-77.032875,Bird,2021-05-17
21,38.876838,-76.964065,Bird,2021-05-17
22,38.932586,-77.103181,Bird,2021-05-17
23,38.887108,-77.019799,Bird,2021-05-17
24,38.949695,-77.066994,Bird,2021-05-17
25,38.901425,-77.039749,Bird,2021-05-17
26,38.892296,-77.039757,Bird,2021-05-17
27,38.913548,-77.025911,Bird,2021-05-17
28,38.92855,-77.036232,Bird,2021-05-17
29,38.930553,-77.032814,Bird,2021-05-17
30,38.876403,-77.003747,Bird,2021-05-17
31,38.898998,-77.019997,Bird,2021-05-17
32,38.904205,-76.98359,Bird,2021-05-17
33,38.878353,-77.007279,Bird,2021-05-17
34,38.932623,-77.085267,Bird,2021-05-17
35,38.897273,-77.025925,Bird,2021-05-17
36,38.858848,-76.985344,Bird,2021-05-17
37,38.896079,-77.05442,Bird,2021-05-17
38,38.931912,-77.03469,Bird,2021-05-17
39,38.918533,-77.009194,Bird,2021-05-17
40,38.890349,-76.937371,Bird,2021-05-17
41,38.900019,-77.022044,Bird,2021-05-17
42,38.898536,-76.998322,Bird,2021-05-17
43,38.912785,-77.064232,Bird,2021-05-17
44,38.949733,-77.066682,Bird,2021-05-17
45,38.888282,-77.015382,Bird,2021-05-17
46,38.890381,-77.029801,Bird,2021-05-17
47,38.900559,-77.026206,Bird,2021-05-17
48,38.895358,-77.033447,Bird,2021-05-17
49,38.928913,-77.032807,Bird,2021-05-17
50,38.941093,-77.02642,Bird,2021-05-17
51,38.923401,-77.05365,Bird,2021-05-17
52,38.953006,-77.030625,Bird,2021-05-17
53,38.912746,-77.03196,Bird,2021-05-17
54,38.90641,-77.04132,Bird,2021-05-17
55,38.921422,-77.01073,Bird,2021-05-17
56,38.921389,-76.981843,Bird,2021-05-17
57,38.916458,-77.023102,Bird,2021-05-17
58,38.918895,-77.041608,Bird,2021-05-17
59,38.87645,-77.008332,Bird,2021-05-17
60,38.89878,-77.019997,Bird,2021-05-17
61,38.937014,-77.024254,Bird,2021-05-17
62,38.895855,-77.031845,Bird,2021-05-17
63,38.87563,-76.961029,Bird,2021-05-17
64,38.914802,-77.04602,Bird,2021-05-17
65,38.901295,-77.025917,Bird,2021-05-17
66,38.921288,-76.99575,Bird,2021-05-17
67,38.881234,-77.026896,Bird,2021-05-17
68,38.927978,-76.996292,Bird,2021-05-17
69,38.914439,-77.052658,Bird,2021-05-17
70,38.930911,-77.036714,Bird,2021-05-17
71,38.905533,-77.002792,Bird,2021-05-17
72,38.932228,-76.99691,Bird,2021-05-17
73,38.883495,-77.031662,Bird,2021-05-17
74,38.916354,-77.026177,Bird,2021-05-17
75,38.870785,-76.97081,Bird,2021-05-17
76,38.893936,-77.02195,Bird,2021-05-17
77,38.92762,-77.029549,Bird,2021-05-17
78,38.897858,-77.03349,Bird,2021-05-17
79,38.918705,-77.0429,Bird,2021-05-17
80,38.878261,-77.017532,Bird,2021-05-17
