,Lat,Lon,Operator,Date
0,38.90133,-77.042395,Bird,2021-05-17
1,38.936529,-77.024483,Bird,2021-05-17
2,38.944988,-77.03218,Bird,2021-05-17
3,38.89729,-77.004364,Bird,2021-05-17
4,38.911164,-77.050853,Bird,2021-05-17
5,38.907334,-77.007922,Bird,2021-05-17
6,38.886272,-76.977208,Bird,2021-05-17
7,38.926628,-77.04129,Bird,2021-05-17
8,38.864261,-77.012299,Bird,2021-05-17
9,38.907721,-77.024522,Bird,2021-05-17
10,38.892658,-77.039659,Bird,2021-05-17
11,38.881457,-77.027098,Bird,2021-05-17
12,38.885732,-76.977447,Bird,2021-05-17
13,38.907535,-77.000359,Bird,2021-05-17
14,38.939346,-77.093972,Bird,2021-05-17
15,38.892264,-77.028305,Bird,2021-05-17
16,38.902728,-77.017715,Bird,2021-05-17
17,38.92773,-77.023185,Bird,2021-05-17
18,38.865202,-76.989578,Bird,2021-05-17
19,38.937236,-77.032632,Bird,2021-05-17
20,38.932586,-77.103181,Bird,2021-05-17
21,38.897206,-77.008132,Bird,2021-05-17
22,38.892355,-77.033499,Bird,2021-05-17
23,38.949695,-77.066994,Bird,2021-05-17
24,38.9021,-77.051469,Bird,2021-05-17
25,38.892532,-77.039571,Bird,2021-05-17
26,38.913548,-77.025911,Bird,2021-05-17
27,38.928455,-77.036209,Bird,2021-05-17
28,38.929269,-77.03271,Bird,2021-05-17
29,38.884619,-77.031839,Bird,2021-05-17
30,38.876403,-77.003747,Bird,2021-05-17
31,38.897311,-77.032105,Bird,2021-05-17
32,38.904205,-76.98359,Bird,2021-05-17
33,38.882378,-77.002137,Bird,2021-05-17
34,38.932623,-77.085267,Bird,2021-05-17
35,38.89239,-77.043631,Bird,2021-05-17
36,38.858848,-76.985344,Bird,2021-05-17
37,38.931912,-77.03469,Bird,2021-05-17
38,38.918533,-77.009194,Bird,2021-05-17
39,38.890349,-76.937371,Bird,2021-05-17
40,38.9191,-77.03219,Bird,2021-05-17
41,38.898536,-76.998322,Bird,2021-05-17
42,38.908401,-77.03917,Bird,2021-05-17
43,38.946613,-77.064842,Bird,2021-05-17
44,38.888438,-77.04906,Bird,2021-05-17
45,38.905775,-77.069037,Bird,2021-05-17
46,38.887443,-77.031724,Bird,2021-05-17
47,38.892329,-77.041605,Bird,2021-05-17
48,38.887452,-77.031821,Bird,2021-05-17
49,38.928821,-77.025932,Bird,2021-05-17
50,38.941093,-77.02642,Bird,2021-05-17
51,38.923401,-77.05365,Bird,2021-05-17
52,38.916218,-77.021142,Bird,2021-05-17
53,38.921422,-77.01073,Bird,2021-05-17
54,38.899486,-77.024079,Bird,2021-05-17
55,38.903473,-77.034714,Bird,2021-05-17
56,38.88366,-76.996117,Bird,2021-05-17
57,38.896179,-77.021439,Bird,2021-05-17
58,38.895855,-77.031845,Bird,2021-05-17
59,38.87976,-76.987435,Bird,2021-05-17
60,38.894833,-76.998994,Bird,2021-05-17
61,38.897166,-77.033562,Bird,2021-05-17
62,38.910511,-77.059617,Bird,2021-05-17
63,38.921288,-76.99575,Bird,2021-05-17
64,38.921311,-76.981855,Bird,2021-05-17
65,38.921423,-76.981861,Bird,2021-05-17
66,38.914439,-77.052658,Bird,2021-05-17
67,38.92868,-77.033219,Bird,2021-05-17
68,38.88903,-77.032144,Bird,2021-05-17
69,38.932228,-76.99691,Bird,2021-05-17
70,38.890269,-77.032151,Bird,2021-05-17
71,38.909786,-77.033195,Bird,2021-05-17
72,38.870785,-76.97081,Bird,2021-05-17
73,38.917175,-77.025101,Bird,2021-05-17
74,38.92762,-77.029549,Bird,2021-05-17
75,38.895065,-77.011209,Bird,2021-05-17
76,38.918705,-77.0429,Bird,2021-05-17
77,38.878261,-77.017532,Bird,2021-05-17
78,38.892228,-77.04009,Bird,2021-05-17
79,38.929768,-77.055199,Bird,2021-05-17
80,38.923532,-77.050432,Bird,2021-05-17
