,Lat,Lon,Operator,Date
0,39.103633,-94.581855,Bird,2021-05-17
1,39.090231,-94.585015,Bird,2021-05-17
2,39.098456,-94.577675,Bird,2021-05-17
3,39.088546,-94.588856,Bird,2021-05-17
4,39.098656,-94.583208,Bird,2021-05-17
5,39.0884,-94.588715,Bird,2021-05-17
6,39.040591,-94.597267,Bird,2021-05-17
7,39.108105,-94.575065,Bird,2021-05-17
8,39.101848,-94.588319,Bird,2021-05-17
9,39.098423,-94.581192,Bird,2021-05-17
10,39.10852,-94.585465,Bird,2021-05-17
11,39.096206,-94.582024,Bird,2021-05-17
12,39.094531,-94.583557,Bird,2021-05-17
13,39.098121,-94.581162,Bird,2021-05-17
14,39.089091,-94.587532,Bird,2021-05-17
15,39.052146,-94.597516,Bird,2021-05-17
16,39.05206,-94.592611,Bird,2021-05-17
17,39.09285,-94.583427,Bird,2021-05-17
18,39.107655,-94.581391,Bird,2021-05-17
19,39.107795,-94.580712,Bird,2021-05-17
20,39.100235,-94.586412,Bird,2021-05-17
21,39.1035,-94.584205,Bird,2021-05-17
22,39.099889,-94.585486,Bird,2021-05-17
23,39.044669,-94.6073,Bird,2021-05-17
24,39.116043,-94.575225,Bird,2021-05-17
25,39.099421,-94.580849,Bird,2021-05-17
26,39.098161,-94.581119,Bird,2021-05-17
27,39.106246,-94.587479,Bird,2021-05-17
28,39.093903,-94.584527,Bird,2021-05-17
29,39.09177,-94.578599,Bird,2021-05-17
30,39.102378,-94.582787,Bird,2021-05-17
31,39.081715,-94.582222,Bird,2021-05-17
32,39.103633,-94.581864,Bird,2021-05-17
33,39.097739,-94.582142,Bird,2021-05-17
34,39.09562,-94.584565,Bird,2021-05-17
35,39.042175,-94.590684,Bird,2021-05-17
36,39.098595,-94.582113,Bird,2021-05-17
37,39.108025,-94.589622,Bird,2021-05-17
38,39.097625,-94.581075,Bird,2021-05-17
39,39.09854,-94.581966,Bird,2021-05-17
40,39.093555,-94.582474,Bird,2021-05-17
41,39.076255,-94.555903,Bird,2021-05-17
42,39.108543,-94.582032,Bird,2021-05-17
43,39.098243,-94.583122,Bird,2021-05-17
44,38.997381,-94.546063,Bird,2021-05-17
45,39.10476,-94.586404,Bird,2021-05-17
46,39.100623,-94.580964,Bird,2021-05-17
47,39.089439,-94.579232,Bird,2021-05-17
48,39.103431,-94.584145,Bird,2021-05-17
49,39.097393,-94.583252,Bird,2021-05-17
50,39.09858,-94.585595,Bird,2021-05-17
51,39.110493,-94.580864,Bird,2021-05-17
52,39.107657,-94.581344,Bird,2021-05-17
53,39.099754,-94.591317,Bird,2021-05-17
54,39.052765,-94.591427,Bird,2021-05-17
55,39.109455,-94.581719,Bird,2021-05-17
56,39.040488,-94.591502,Bird,2021-05-17
57,39.011474,-94.577098,Bird,2021-05-17
58,39.042465,-94.591805,Bird,2021-05-17
59,39.105435,-94.581207,Bird,2021-05-17
60,39.040499,-94.597199,Bird,2021-05-17
61,39.116079,-94.575206,Bird,2021-05-17
62,39.095611,-94.584694,Bird,2021-05-17
63,39.10334,-94.580567,Bird,2021-05-17
64,39.098556,-94.581094,Bird,2021-05-17
65,39.107865,-94.581551,Bird,2021-05-17
66,39.089272,-94.583826,Bird,2021-05-17
67,39.098394,-94.580915,Bird,2021-05-17
68,39.103831,-94.585519,Bird,2021-05-17
69,39.108584,-94.581757,Bird,2021-05-17
70,39.092078,-94.593049,Bird,2021-05-17
71,39.097175,-94.582231,Bird,2021-05-17
72,39.094486,-94.586014,Bird,2021-05-17
73,39.052765,-94.591427,Bird,2021-05-17
74,39.099891,-94.589837,Bird,2021-05-17
75,39.081583,-94.595511,Bird,2021-05-17
76,39.040662,-94.59023,Bird,2021-05-17
77,39.092678,-94.583519,Bird,2021-05-17
78,39.116111,-94.575225,Bird,2021-05-17
79,39.110644,-94.579965,Bird,2021-05-17
80,39.103321,-94.583199,Bird,2021-05-17
81,39.100731,-94.580757,Bird,2021-05-17
82,39.118911,-94.568634,Bird,2021-05-17
83,39.108611,-94.581864,Bird,2021-05-17
84,39.094552,-94.583582,Bird,2021-05-17
85,39.093143,-94.583406,Bird,2021-05-17
86,39.099889,-94.585486,Bird,2021-05-17
87,39.097419,-94.582273,Bird,2021-05-17
88,39.103665,-94.58535,Bird,2021-05-17
89,39.094428,-94.583595,Bird,2021-05-17
90,39.097373,-94.582253,Bird,2021-05-17
91,39.102005,-94.58081,Bird,2021-05-17
92,39.097561,-94.580994,Bird,2021-05-17
93,39.096983,-94.582138,Bird,2021-05-17
94,39.053523,-94.592801,Bird,2021-05-17
95,39.094436,-94.585752,Bird,2021-05-17
96,39.041889,-94.592652,Bird,2021-05-17
97,39.084941,-94.584359,Bird,2021-05-17
98,39.011474,-94.577098,Bird,2021-05-17
99,39.107811,-94.581269,Bird,2021-05-17
100,39.084151,-94.584764,Bird,2021-05-17
101,39.092303,-94.547997,Bird,2021-05-17
102,39.084056,-94.585617,Bird,2021-05-17
103,39.074363,-94.57898,Bird,2021-05-17
104,39.108507,-94.584417,Bird,2021-05-17
105,39.051883,-94.590829,Bird,2021-05-17
106,39.096493,-94.582299,Bird,2021-05-17
107,39.100963,-94.5802,Bird,2021-05-17
108,39.103233,-94.591187,Bird,2021-05-17
109,39.110046,-94.586747,Bird,2021-05-17
110,39.104958,-94.574387,Bird,2021-05-17
111,39.11633,-94.574547,Bird,2021-05-17
112,39.091821,-94.579391,Bird,2021-05-17
113,39.053191,-94.589799,Bird,2021-05-17
114,39.089378,-94.588799,Bird,2021-05-17
115,39.096766,-94.582215,Bird,2021-05-17
116,39.102115,-94.59085,Bird,2021-05-17
117,39.108058,-94.589592,Bird,2021-05-17
118,39.084821,-94.584407,Bird,2021-05-17
119,39.102093,-94.584078,Bird,2021-05-17
120,39.108616,-94.585847,Bird,2021-05-17
121,39.088985,-94.578537,Bird,2021-05-17
122,39.081821,-94.582223,Bird,2021-05-17
123,39.110771,-94.584619,Bird,2021-05-17
124,39.088718,-94.58886,Bird,2021-05-17
125,39.053313,-94.590741,Bird,2021-05-17
126,39.090231,-94.585015,Bird,2021-05-17
127,39.099288,-94.581414,Bird,2021-05-17
128,39.093646,-94.582802,Bird,2021-05-17
129,39.05335,-94.590754,Bird,2021-05-17
130,39.097331,-94.58329,Bird,2021-05-17
131,39.071476,-94.572259,Bird,2021-05-17
132,39.052863,-94.591577,Bird,2021-05-17
133,39.053333,-94.588812,Bird,2021-05-17
134,39.097251,-94.582169,Bird,2021-05-17
135,39.084105,-94.584758,Bird,2021-05-17
136,39.097163,-94.58123,Bird,2021-05-17
137,39.110458,-94.575509,Bird,2021-05-17
138,39.040659,-94.595121,Bird,2021-05-17
139,39.053313,-94.590741,Bird,2021-05-17
140,39.107895,-94.57999,Bird,2021-05-17
141,39.10413,-94.580537,Bird,2021-05-17
142,39.109641,-94.582787,Bird,2021-05-17
143,39.10918,-94.584602,Bird,2021-05-17
144,39.100501,-94.584367,Bird,2021-05-17
145,39.092465,-94.582361,Bird,2021-05-17
146,39.11361,-94.582787,Bird,2021-05-17
147,39.084101,-94.584791,Bird,2021-05-17
148,39.089129,-94.585892,Bird,2021-05-17
149,39.099889,-94.585486,Bird,2021-05-17
150,39.098635,-94.583311,Bird,2021-05-17
151,39.052883,-94.591377,Bird,2021-05-17
152,39.10368,-94.58538,Bird,2021-05-17
153,39.096257,-94.581483,Bird,2021-05-17
154,39.084205,-94.584367,Bird,2021-05-17
155,39.038421,-94.561425,Bird,2021-05-17
156,39.097914,-94.582284,Bird,2021-05-17
157,39.097556,-94.582139,Bird,2021-05-17
158,39.097236,-94.58217,Bird,2021-05-17
159,39.117316,-94.57154,Bird,2021-05-17
160,39.100113,-94.585451,Bird,2021-05-17
161,39.042485,-94.594911,Bird,2021-05-17
162,39.104823,-94.580537,Bird,2021-05-17
