,Lat,Lon,Operator,Date
0,45.515488,-122.67398,Bird,2021-05-17
1,45.526958,-122.698295,Bird,2021-05-17
2,45.520572,-122.557027,Bird,2021-05-17
3,45.518638,-122.679879,Bird,2021-05-17
4,45.512821,-122.675424,Bird,2021-05-17
5,45.519398,-122.67987,Bird,2021-05-17
6,45.509323,-122.673127,Bird,2021-05-17
7,45.519238,-122.679734,Bird,2021-05-17
8,45.523796,-122.700135,Bird,2021-05-17
9,45.547325,-122.714044,Bird,2021-05-17
10,45.522388,-122.537185,Bird,2021-05-17
11,45.515506,-122.673989,Bird,2021-05-17
12,45.518146,-122.562989,Bird,2021-05-17
13,45.519961,-122.671441,Bird,2021-05-17
14,45.541829,-122.604664,Bird,2021-05-17
15,45.503975,-122.686432,Bird,2021-05-17
16,45.519581,-122.680154,Bird,2021-05-17
17,45.51839,-122.679887,Bird,2021-05-17
18,45.519744,-122.671547,Bird,2021-05-17
19,45.51978,-122.671541,Bird,2021-05-17
20,45.507,-122.681169,Bird,2021-05-17
21,45.49839,-122.677025,Bird,2021-05-17
22,45.504313,-122.567264,Bird,2021-05-17
23,45.512763,-122.675377,Bird,2021-05-17
24,45.518718,-122.679856,Bird,2021-05-17
25,45.480953,-122.570045,Bird,2021-05-17
26,45.519774,-122.671594,Bird,2021-05-17
27,45.518093,-122.693376,Bird,2021-05-17
28,45.498543,-122.676964,Bird,2021-05-17
29,45.51556,-122.673997,Bird,2021-05-17
30,45.523193,-122.675439,Bird,2021-05-17
31,45.490573,-122.56649,Bird,2021-05-17
32,45.520572,-122.557027,Bird,2021-05-17
33,45.524216,-122.683062,Bird,2021-05-17
34,45.523566,-122.651169,Bird,2021-05-17
35,45.509285,-122.673096,Bird,2021-05-17
36,45.519985,-122.671429,Bird,2021-05-17
37,45.519928,-122.671441,Bird,2021-05-17
38,45.519099,-122.679627,Bird,2021-05-17
39,45.529921,-122.558251,Bird,2021-05-17
40,45.519763,-122.671487,Bird,2021-05-17
41,45.519843,-122.671441,Bird,2021-05-17
42,45.535849,-122.660539,Bird,2021-05-17
43,45.520428,-122.674767,Bird,2021-05-17
44,45.518447,-122.67629,Bird,2021-05-17
45,45.525975,-122.638702,Bird,2021-05-17
46,45.522953,-122.690834,Bird,2021-05-17
47,45.547333,-122.714012,Bird,2021-05-17
48,45.504383,-122.676545,Bird,2021-05-17
49,45.52301,-122.682427,Bird,2021-05-17
50,45.509642,-122.674596,Bird,2021-05-17
51,45.519985,-122.671429,Bird,2021-05-17
52,45.509293,-122.673089,Bird,2021-05-17
53,45.518353,-122.676217,Bird,2021-05-17
54,45.534648,-122.684555,Bird,2021-05-17
55,45.526573,-122.664339,Bird,2021-05-17
56,45.519046,-122.699112,Bird,2021-05-17
57,45.523223,-122.690094,Bird,2021-05-17
58,45.509281,-122.673059,Bird,2021-05-17
59,45.524178,-122.673332,Bird,2021-05-17
60,45.519688,-122.671555,Bird,2021-05-17
61,45.503043,-122.676437,Bird,2021-05-17
62,45.511306,-122.672844,Bird,2021-05-17
63,45.519767,-122.671522,Bird,2021-05-17
64,45.51976,-122.671432,Bird,2021-05-17
65,45.5186,-122.679887,Bird,2021-05-17
66,45.520153,-122.674317,Bird,2021-05-17
67,45.514103,-122.68425,Bird,2021-05-17
68,45.520572,-122.557027,Bird,2021-05-17
69,45.519943,-122.674767,Bird,2021-05-17
70,45.519676,-122.676202,Bird,2021-05-17
71,45.524883,-122.699624,Bird,2021-05-17
72,45.515751,-122.674362,Bird,2021-05-17
73,45.529539,-122.562397,Bird,2021-05-17
74,45.525886,-122.677354,Bird,2021-05-17
75,45.522408,-122.537156,Bird,2021-05-17
76,45.521983,-122.672189,Bird,2021-05-17
77,45.509296,-122.673089,Bird,2021-05-17
78,45.52283,-122.557535,Bird,2021-05-17
79,45.515545,-122.674004,Bird,2021-05-17
80,45.57748,-122.682054,Bird,2021-05-17
81,45.519641,-122.671524,Bird,2021-05-17
82,45.533597,-122.548974,Bird,2021-05-17
83,45.498259,-122.637757,Bird,2021-05-17
84,45.520572,-122.557027,Bird,2021-05-17
85,45.529524,-122.562404,Bird,2021-05-17
86,45.522384,-122.537173,Bird,2021-05-17
87,45.518216,-122.683068,Bird,2021-05-17
88,45.515965,-122.673654,Bird,2021-05-17
89,45.567028,-122.558754,Bird,2021-05-17
90,45.520546,-122.557105,Bird,2021-05-17
91,45.51548,-122.673927,Bird,2021-05-17
92,45.51646,-122.691772,Bird,2021-05-17
93,45.510181,-122.675141,Bird,2021-05-17
94,45.529542,-122.562424,Bird,2021-05-17
95,45.519961,-122.671395,Bird,2021-05-17
96,45.553008,-122.578102,Bird,2021-05-17
97,45.515211,-122.674008,Bird,2021-05-17
98,45.51519,-122.564108,Bird,2021-05-17
99,45.51519,-122.564108,Bird,2021-05-17
100,45.509249,-122.673153,Bird,2021-05-17
101,45.518701,-122.680231,Bird,2021-05-17
102,45.516631,-122.67337,Bird,2021-05-17
103,45.533725,-122.569077,Bird,2021-05-17
104,45.519985,-122.671429,Bird,2021-05-17
105,45.525436,-122.698922,Bird,2021-05-17
106,45.514095,-122.684289,Bird,2021-05-17
107,45.499123,-122.655754,Bird,2021-05-17
108,45.535855,-122.660539,Bird,2021-05-17
109,45.519985,-122.671429,Bird,2021-05-17
110,45.522393,-122.537211,Bird,2021-05-17
111,45.518096,-122.693414,Bird,2021-05-17
112,45.515563,-122.673927,Bird,2021-05-17
113,45.519905,-122.671464,Bird,2021-05-17
114,45.516418,-122.69178,Bird,2021-05-17
115,45.5043,-122.567202,Bird,2021-05-17
116,45.519698,-122.671609,Bird,2021-05-17
117,45.509326,-122.673066,Bird,2021-05-17
118,45.519695,-122.671555,Bird,2021-05-17
119,45.514114,-122.68525,Bird,2021-05-17
120,45.518623,-122.680054,Bird,2021-05-17
121,45.517821,-122.67257,Bird,2021-05-17
122,45.519913,-122.671449,Bird,2021-05-17
123,45.520801,-122.67112,Bird,2021-05-17
124,45.515888,-122.696626,Bird,2021-05-17
125,45.522524,-122.683205,Bird,2021-05-17
126,45.519931,-122.671387,Bird,2021-05-17
127,45.522404,-122.537205,Bird,2021-05-17
128,45.522289,-122.685095,Bird,2021-05-17
129,45.504288,-122.567166,Bird,2021-05-17
130,45.518604,-122.680535,Bird,2021-05-17
131,45.517303,-122.660889,Bird,2021-05-17
132,45.50933,-122.673096,Bird,2021-05-17
133,45.519756,-122.671494,Bird,2021-05-17
134,45.52898,-122.701775,Bird,2021-05-17
135,45.515494,-122.67392,Bird,2021-05-17
136,45.515494,-122.674072,Bird,2021-05-17
137,45.505999,-122.682175,Bird,2021-05-17
138,45.509281,-122.673112,Bird,2021-05-17
139,45.521811,-122.661919,Bird,2021-05-17
140,45.524616,-122.671204,Bird,2021-05-17
141,45.51519,-122.564108,Bird,2021-05-17
142,45.517341,-122.672829,Bird,2021-05-17
143,45.518375,-122.67572,Bird,2021-05-17
144,45.52438,-122.650094,Bird,2021-05-17
145,45.530471,-122.705269,Bird,2021-05-17
146,45.529542,-122.562424,Bird,2021-05-17
