,Lat,Lon,Operator,Date
0,37.775341,-122.412164,Bird,2021-05-17
1,37.775226,-122.412529,Bird,2021-05-17
2,37.775226,-122.412209,Bird,2021-05-17
3,37.775265,-122.412247,Bird,2021-05-17
4,37.77538,-122.412232,Bird,2021-05-17
5,37.775253,-122.411981,Bird,2021-05-17
6,37.775191,-122.411949,Bird,2021-05-17
7,37.77523,-122.412064,Bird,2021-05-17
8,37.775398,-122.411706,Bird,2021-05-17
9,37.775203,-122.411942,Bird,2021-05-17
10,37.775265,-122.412034,Bird,2021-05-17
11,37.775341,-122.411912,Bird,2021-05-17
12,37.775226,-122.411957,Bird,2021-05-17
13,37.769906,-122.411727,Bird,2021-05-17
14,37.775288,-122.411965,Bird,2021-05-17
15,37.775226,-122.411874,Bird,2021-05-17
16,37.775318,-122.412377,Bird,2021-05-17
17,37.775196,-122.412057,Bird,2021-05-17
18,37.775105,-122.411987,Bird,2021-05-17
19,37.775158,-122.412202,Bird,2021-05-17
20,37.76651,-122.421965,Bird,2021-05-17
21,37.775253,-122.411912,Bird,2021-05-17
22,37.77533,-122.412072,Bird,2021-05-17
23,37.77536,-122.414887,Bird,2021-05-17
24,37.775271,-122.412049,Bird,2021-05-17
25,37.775588,-122.412179,Bird,2021-05-17
26,37.775261,-122.411972,Bird,2021-05-17
27,37.775241,-122.412149,Bird,2021-05-17
28,37.775283,-122.411981,Bird,2021-05-17
29,37.775096,-122.411904,Bird,2021-05-17
30,37.775238,-122.412262,Bird,2021-05-17
31,37.775368,-122.412224,Bird,2021-05-17
32,37.775223,-122.412087,Bird,2021-05-17
33,37.759003,-122.414453,Bird,2021-05-17
34,37.775561,-122.411942,Bird,2021-05-17
35,37.77507,-122.412004,Bird,2021-05-17
36,37.775295,-122.412072,Bird,2021-05-17
37,37.77518,-122.411904,Bird,2021-05-17
38,37.775001,-122.411667,Bird,2021-05-17
39,37.775306,-122.412132,Bird,2021-05-17
40,37.762718,-122.413888,Bird,2021-05-17
41,37.804834,-122.466362,Bird,2021-05-17
42,37.775315,-122.412094,Bird,2021-05-17
43,37.775276,-122.411912,Bird,2021-05-17
44,37.775245,-122.411842,Bird,2021-05-17
45,37.775208,-122.412209,Bird,2021-05-17
46,37.785613,-122.422844,Bird,2021-05-17
47,37.775288,-122.411987,Bird,2021-05-17
48,37.781249,-122.426393,Bird,2021-05-17
49,37.775223,-122.411919,Bird,2021-05-17
50,37.775238,-122.412025,Bird,2021-05-17
51,37.775135,-122.411895,Bird,2021-05-17
52,37.775268,-122.412262,Bird,2021-05-17
53,37.775215,-122.412255,Bird,2021-05-17
54,37.775336,-122.411895,Bird,2021-05-17
55,37.775196,-122.412004,Bird,2021-05-17
56,37.775073,-122.412049,Bird,2021-05-17
57,37.775146,-122.41211,Bird,2021-05-17
58,37.775165,-122.411934,Bird,2021-05-17
59,37.76266,-122.41385,Bird,2021-05-17
60,37.787705,-122.433646,Bird,2021-05-17
61,37.770444,-122.444263,Bird,2021-05-17
62,37.775176,-122.411965,Bird,2021-05-17
63,37.775298,-122.412087,Bird,2021-05-17
64,37.775196,-122.41214,Bird,2021-05-17
65,37.775253,-122.412186,Bird,2021-05-17
66,37.775185,-122.412156,Bird,2021-05-17
67,37.77481,-122.4124,Bird,2021-05-17
68,37.774845,-122.411407,Bird,2021-05-17
69,37.775383,-122.411912,Bird,2021-05-17
70,37.775176,-122.411942,Bird,2021-05-17
71,37.775046,-122.411995,Bird,2021-05-17
72,37.775268,-122.411942,Bird,2021-05-17
73,37.77488,-122.412049,Bird,2021-05-17
74,37.774978,-122.412202,Bird,2021-05-17
75,37.775298,-122.411972,Bird,2021-05-17
76,37.775315,-122.412057,Bird,2021-05-17
77,37.77518,-122.411949,Bird,2021-05-17
78,37.775341,-122.412064,Bird,2021-05-17
79,37.775099,-122.411965,Bird,2021-05-17
80,37.775191,-122.412292,Bird,2021-05-17
81,37.775245,-122.411965,Bird,2021-05-17
82,37.775283,-122.412011,Bird,2021-05-17
83,37.775099,-122.412072,Bird,2021-05-17
84,37.775303,-122.411889,Bird,2021-05-17
85,37.775173,-122.411827,Bird,2021-05-17
86,37.775208,-122.41204,Bird,2021-05-17
87,37.775291,-122.412232,Bird,2021-05-17
88,37.77531,-122.412064,Bird,2021-05-17
89,37.767423,-122.45329,Bird,2021-05-17
90,37.775245,-122.412239,Bird,2021-05-17
91,37.775099,-122.412057,Bird,2021-05-17
92,37.775223,-122.412202,Bird,2021-05-17
93,37.775398,-122.411981,Bird,2021-05-17
94,37.775421,-122.411965,Bird,2021-05-17
95,37.775256,-122.411874,Bird,2021-05-17
96,37.775368,-122.412094,Bird,2021-05-17
97,37.77531,-122.412232,Bird,2021-05-17
98,37.775176,-122.411912,Bird,2021-05-17
99,37.775051,-122.412309,Bird,2021-05-17
100,37.775093,-122.412034,Bird,2021-05-17
101,37.77523,-122.411942,Bird,2021-05-17
102,37.775283,-122.412232,Bird,2021-05-17
103,37.77533,-122.412072,Bird,2021-05-17
104,37.775241,-122.412209,Bird,2021-05-17
105,37.774936,-122.412011,Bird,2021-05-17
106,37.775203,-122.411859,Bird,2021-05-17
107,37.73562,-122.424619,Bird,2021-05-17
108,37.775336,-122.412209,Bird,2021-05-17
109,37.775421,-122.412224,Bird,2021-05-17
110,37.775283,-122.411895,Bird,2021-05-17
111,37.762669,-122.413918,Bird,2021-05-17
112,37.775238,-122.411942,Bird,2021-05-17
113,37.775433,-122.411859,Bird,2021-05-17
114,37.775245,-122.412224,Bird,2021-05-17
115,37.775215,-122.411904,Bird,2021-05-17
116,37.77499,-122.413544,Bird,2021-05-17
117,37.775315,-122.412049,Bird,2021-05-17
118,37.77517,-122.411987,Bird,2021-05-17
119,37.7752,-122.411889,Bird,2021-05-17
120,37.77533,-122.411865,Bird,2021-05-17
121,37.77517,-122.412087,Bird,2021-05-17
122,37.775226,-122.411934,Bird,2021-05-17
123,37.775111,-122.41211,Bird,2021-05-17
124,37.775073,-122.411965,Bird,2021-05-17
125,37.775185,-122.411927,Bird,2021-05-17
126,37.775288,-122.412247,Bird,2021-05-17
127,37.775203,-122.412186,Bird,2021-05-17
128,37.775234,-122.411981,Bird,2021-05-17
129,37.775245,-122.412079,Bird,2021-05-17
130,37.775291,-122.411927,Bird,2021-05-17
131,37.775283,-122.411949,Bird,2021-05-17
132,37.775123,-122.411934,Bird,2021-05-17
133,37.775288,-122.411859,Bird,2021-05-17
134,37.775185,-122.412186,Bird,2021-05-17
135,37.775245,-122.411934,Bird,2021-05-17
136,37.77547,-122.412186,Bird,2021-05-17
137,37.77533,-122.411637,Bird,2021-05-17
138,37.77536,-122.41188,Bird,2021-05-17
139,37.775298,-122.412232,Bird,2021-05-17
140,37.775196,-122.411859,Bird,2021-05-17
141,37.775351,-122.411927,Bird,2021-05-17
142,37.775291,-122.412179,Bird,2021-05-17
143,37.775165,-122.411904,Bird,2021-05-17
144,37.775283,-122.411949,Bird,2021-05-17
145,37.76272,-122.413906,Bird,2021-05-17
146,37.743065,-122.421112,Bird,2021-05-17
147,37.775241,-122.412049,Bird,2021-05-17
148,37.775253,-122.411865,Bird,2021-05-17
149,37.775345,-122.411949,Bird,2021-05-17
150,37.775165,-122.41188,Bird,2021-05-17
151,37.775108,-122.41188,Bird,2021-05-17
152,37.775215,-122.412239,Bird,2021-05-17
153,37.775211,-122.411827,Bird,2021-05-17
154,37.775256,-122.412202,Bird,2021-05-17
155,37.775324,-122.411889,Bird,2021-05-17
156,37.775234,-122.411889,Bird,2021-05-17
157,37.775176,-122.411827,Bird,2021-05-17
158,37.775165,-122.411531,Bird,2021-05-17
159,37.775234,-122.411874,Bird,2021-05-17
160,37.775265,-122.412186,Bird,2021-05-17
161,37.775215,-122.41214,Bird,2021-05-17
162,37.775165,-122.41188,Bird,2021-05-17
163,37.775265,-122.412072,Bird,2021-05-17
164,37.775165,-122.412064,Bird,2021-05-17
165,37.774971,-122.412117,Bird,2021-05-17
166,37.775241,-122.411949,Bird,2021-05-17
167,37.775321,-122.412262,Bird,2021-05-17
168,37.775176,-122.412004,Bird,2021-05-17
169,37.775718,-122.41214,Bird,2021-05-17
170,37.7752,-122.411972,Bird,2021-05-17
171,37.775218,-122.412277,Bird,2021-05-17
172,37.77504,-122.412064,Bird,2021-05-17
173,37.775298,-122.411965,Bird,2021-05-17
174,37.775348,-122.412072,Bird,2021-05-17
175,37.775123,-122.411981,Bird,2021-05-17
176,37.775318,-122.411919,Bird,2021-05-17
177,37.775256,-122.412232,Bird,2021-05-17
178,37.775208,-122.411981,Bird,2021-05-17
179,37.775196,-122.4123,Bird,2021-05-17
180,37.808006,-122.418,Bird,2021-05-17
181,37.77525,-122.411927,Bird,2021-05-17
182,37.775158,-122.412117,Bird,2021-05-17
183,37.775253,-122.412224,Bird,2021-05-17
184,37.775256,-122.41188,Bird,2021-05-17
185,37.775173,-122.411759,Bird,2021-05-17
186,37.775215,-122.41211,Bird,2021-05-17
187,37.775288,-122.412156,Bird,2021-05-17
188,37.781319,-122.426328,Bird,2021-05-17
189,37.775295,-122.411949,Bird,2021-05-17
190,37.775226,-122.411981,Bird,2021-05-17
191,37.775253,-122.412064,Bird,2021-05-17
192,37.775191,-122.411995,Bird,2021-05-17
193,37.775261,-122.41211,Bird,2021-05-17
194,37.775333,-122.412117,Bird,2021-05-17
195,37.775261,-122.412011,Bird,2021-05-17
196,37.775223,-122.412224,Bird,2021-05-17
197,37.774913,-122.412064,Bird,2021-05-17
198,37.775215,-122.412057,Bird,2021-05-17
199,37.762689,-122.413822,Bird,2021-05-17
200,37.7752,-122.412179,Bird,2021-05-17
201,37.775256,-122.412164,Bird,2021-05-17
202,37.775271,-122.412126,Bird,2021-05-17
203,37.764678,-122.432321,Bird,2021-05-17
204,37.775245,-122.4124,Bird,2021-05-17
205,37.775291,-122.41217,Bird,2021-05-17
206,37.775401,-122.412164,Bird,2021-05-17
207,37.775238,-122.411949,Bird,2021-05-17
208,37.775298,-122.411987,Bird,2021-05-17
209,37.775234,-122.411895,Bird,2021-05-17
210,37.775241,-122.411957,Bird,2021-05-17
211,37.775085,-122.412186,Bird,2021-05-17
212,37.775253,-122.412004,Bird,2021-05-17
213,37.775324,-122.411919,Bird,2021-05-17
214,37.775223,-122.41185,Bird,2021-05-17
215,37.777065,-122.419496,Bird,2021-05-17
216,37.775116,-122.412087,Bird,2021-05-17
217,37.775131,-122.412019,Bird,2021-05-17
218,37.775238,-122.412217,Bird,2021-05-17
219,37.78764,-122.394104,Bird,2021-05-17
220,37.775073,-122.41217,Bird,2021-05-17
221,37.775303,-122.412156,Bird,2021-05-17
222,37.775196,-122.411942,Bird,2021-05-17
223,37.775226,-122.412094,Bird,2021-05-17
224,37.775238,-122.412149,Bird,2021-05-17
225,37.762697,-122.413914,Bird,2021-05-17
226,37.77533,-122.411697,Bird,2021-05-17
227,37.7752,-122.411995,Bird,2021-05-17
228,37.792655,-122.433524,Bird,2021-05-17
229,37.782345,-122.39285,Bird,2021-05-17
230,37.775661,-122.412117,Bird,2021-05-17
231,37.775245,-122.411942,Bird,2021-05-17
232,37.775261,-122.411965,Bird,2021-05-17
233,37.775043,-122.412202,Bird,2021-05-17
234,37.775161,-122.411812,Bird,2021-05-17
235,37.775185,-122.412019,Bird,2021-05-17
236,37.775676,-122.412224,Bird,2021-05-17
237,37.775443,-122.411987,Bird,2021-05-17
238,37.775271,-122.411865,Bird,2021-05-17
239,37.775105,-122.411895,Bird,2021-05-17
240,37.762741,-122.413879,Bird,2021-05-17
241,37.775196,-122.412117,Bird,2021-05-17
242,37.775223,-122.412019,Bird,2021-05-17
243,37.775211,-122.411827,Bird,2021-05-17
244,37.775398,-122.41227,Bird,2021-05-17
245,37.775398,-122.412132,Bird,2021-05-17
246,37.775046,-122.412437,Bird,2021-05-17
247,37.77523,-122.412034,Bird,2021-05-17
248,37.775253,-122.412034,Bird,2021-05-17
249,37.775173,-122.411981,Bird,2021-05-17
250,37.775161,-122.412239,Bird,2021-05-17
251,37.761081,-122.430337,Bird,2021-05-17
252,37.775196,-122.412079,Bird,2021-05-17
253,37.758859,-122.414227,Bird,2021-05-17
254,37.775196,-122.412286,Bird,2021-05-17
255,37.775298,-122.412232,Bird,2021-05-17
256,37.775105,-122.412087,Bird,2021-05-17
257,37.775188,-122.41217,Bird,2021-05-17
258,37.766693,-122.420555,Bird,2021-05-17
259,37.775185,-122.412186,Bird,2021-05-17
260,37.76987,-122.431877,Bird,2021-05-17
261,37.775126,-122.412422,Bird,2021-05-17
262,37.775208,-122.412286,Bird,2021-05-17
263,37.775123,-122.411949,Bird,2021-05-17
264,37.775191,-122.411919,Bird,2021-05-17
265,37.775165,-122.41185,Bird,2021-05-17
266,37.775641,-122.412599,Bird,2021-05-17
267,37.775303,-122.412186,Bird,2021-05-17
268,37.775161,-122.412094,Bird,2021-05-17
269,37.775253,-122.41227,Bird,2021-05-17
270,37.77486,-122.412132,Bird,2021-05-17
271,37.775123,-122.412179,Bird,2021-05-17
272,37.775261,-122.412072,Bird,2021-05-17
273,37.775138,-122.411934,Bird,2021-05-17
274,37.77509,-122.412156,Bird,2021-05-17
275,37.775345,-122.412164,Bird,2021-05-17
276,37.775256,-122.411965,Bird,2021-05-17
277,37.775291,-122.411957,Bird,2021-05-17
278,37.775191,-122.412049,Bird,2021-05-17
279,37.775099,-122.412019,Bird,2021-05-17
280,37.775226,-122.411949,Bird,2021-05-17
281,37.775215,-122.411874,Bird,2021-05-17
282,37.775208,-122.412102,Bird,2021-05-17
283,37.775386,-122.412286,Bird,2021-05-17
284,37.777316,-122.463784,Bird,2021-05-17
285,37.775245,-122.412094,Bird,2021-05-17
286,37.775028,-122.411759,Bird,2021-05-17
287,37.77525,-122.411957,Bird,2021-05-17
288,37.77523,-122.411942,Bird,2021-05-17
289,37.775383,-122.412034,Bird,2021-05-17
290,37.775321,-122.41204,Bird,2021-05-17
291,37.775238,-122.411987,Bird,2021-05-17
292,37.775276,-122.41211,Bird,2021-05-17
293,37.775218,-122.412072,Bird,2021-05-17
294,37.775173,-122.412087,Bird,2021-05-17
295,37.775279,-122.411965,Bird,2021-05-17
296,37.775211,-122.412064,Bird,2021-05-17
297,37.775215,-122.412224,Bird,2021-05-17
298,37.775283,-122.411934,Bird,2021-05-17
299,37.762678,-122.41392,Bird,2021-05-17
300,37.775226,-122.411895,Bird,2021-05-17
301,37.77515,-122.412025,Bird,2021-05-17
302,37.76981,-122.411637,Bird,2021-05-17
303,37.77525,-122.411874,Bird,2021-05-17
304,37.775218,-122.412102,Bird,2021-05-17
305,37.775223,-122.411987,Bird,2021-05-17
306,37.775443,-122.412117,Bird,2021-05-17
307,37.775161,-122.412149,Bird,2021-05-17
308,37.775226,-122.411919,Bird,2021-05-17
309,37.774898,-122.41095,Bird,2021-05-17
310,37.775215,-122.411987,Bird,2021-05-17
311,37.775238,-122.412034,Bird,2021-05-17
312,37.775368,-122.412202,Bird,2021-05-17
313,37.775271,-122.412156,Bird,2021-05-17
314,37.775348,-122.41233,Bird,2021-05-17
315,37.775283,-122.412286,Bird,2021-05-17
316,37.775291,-122.41211,Bird,2021-05-17
317,37.775268,-122.411842,Bird,2021-05-17
318,37.775211,-122.412004,Bird,2021-05-17
319,37.775295,-122.412094,Bird,2021-05-17
