,Lat,Lon,Operator,Date
0,39.2354,-76.5055,Lime,2021-05-17
1,39.2352,-76.5056,Lime,2021-05-17
2,39.2713,-76.5471,Lime,2021-05-17
3,39.2686,-76.5482,Lime,2021-05-17
4,39.2683,-76.5689,Lime,2021-05-17
5,39.2757,-76.5691,Lime,2021-05-17
6,39.2693,-76.5877,Lime,2021-05-17
7,39.2713,-76.5894,Lime,2021-05-17
8,39.2754,-76.5901,Lime,2021-05-17
9,39.2745,-76.5906,Lime,2021-05-17
10,39.2675,-76.5922,Lime,2021-05-17
11,39.2836,-76.6004,Lime,2021-05-17
12,39.2876,-76.612,Lime,2021-05-17
13,39.282,-76.5088,Lime,2021-05-17
14,39.3043,-76.5376,Lime,2021-05-17
15,39.3638,-76.5397,Lime,2021-05-17
16,39.313,-76.5412,Lime,2021-05-17
17,39.3161,-76.5445,Lime,2021-05-17
18,39.3161,-76.5445,Lime,2021-05-17
19,39.3244,-76.5458,Lime,2021-05-17
20,39.2799,-76.5476,Lime,2021-05-17
21,39.3549,-76.5545,Lime,2021-05-17
22,39.279,-76.5563,Lime,2021-05-17
23,39.3176,-76.5574,Lime,2021-05-17
24,39.2872,-76.558,Lime,2021-05-17
25,39.3519,-76.5617,Lime,2021-05-17
26,39.352,-76.5618,Lime,2021-05-17
27,39.3729,-76.5619,Lime,2021-05-17
28,39.3529,-76.5623,Lime,2021-05-17
29,39.3534,-76.5625,Lime,2021-05-17
30,39.2869,-76.563,Lime,2021-05-17
31,39.2841,-76.5631,Lime,2021-05-17
32,39.2903,-76.5641,Lime,2021-05-17
33,39.3191,-76.5645,Lime,2021-05-17
34,39.3697,-76.5656,Lime,2021-05-17
35,39.2834,-76.5659,Lime,2021-05-17
36,39.2794,-76.5665,Lime,2021-05-17
37,39.2827,-76.5673,Lime,2021-05-17
38,39.2908,-76.5675,Lime,2021-05-17
39,39.2956,-76.5679,Lime,2021-05-17
40,39.2778,-76.5684,Lime,2021-05-17
41,39.2846,-76.5688,Lime,2021-05-17
42,39.285,-76.5689,Lime,2021-05-17
43,39.285,-76.5689,Lime,2021-05-17
44,39.2845,-76.5689,Lime,2021-05-17
45,39.2903,-76.5692,Lime,2021-05-17
46,39.2815,-76.5695,Lime,2021-05-17
47,39.2835,-76.5705,Lime,2021-05-17
48,39.3249,-76.5709,Lime,2021-05-17
49,39.2927,-76.5717,Lime,2021-05-17
50,39.2968,-76.5726,Lime,2021-05-17
51,39.2845,-76.5736,Lime,2021-05-17
52,39.2844,-76.5737,Lime,2021-05-17
53,39.2978,-76.574,Lime,2021-05-17
54,39.2812,-76.5741,Lime,2021-05-17
55,39.3212,-76.5742,Lime,2021-05-17
56,39.3211,-76.5743,Lime,2021-05-17
57,39.2853,-76.5744,Lime,2021-05-17
58,39.2799,-76.5746,Lime,2021-05-17
59,39.2992,-76.5748,Lime,2021-05-17
60,39.283,-76.5749,Lime,2021-05-17
61,39.2948,-76.575,Lime,2021-05-17
62,39.2806,-76.5754,Lime,2021-05-17
63,39.2805,-76.5756,Lime,2021-05-17
64,39.2954,-76.5763,Lime,2021-05-17
65,39.2964,-76.5765,Lime,2021-05-17
66,39.3159,-76.5767,Lime,2021-05-17
67,39.2967,-76.577,Lime,2021-05-17
68,39.2814,-76.577,Lime,2021-05-17
69,39.2821,-76.5771,Lime,2021-05-17
70,39.2932,-76.5777,Lime,2021-05-17
71,39.2961,-76.5787,Lime,2021-05-17
72,39.281,-76.5797,Lime,2021-05-17
73,39.2862,-76.5799,Lime,2021-05-17
74,39.3159,-76.5799,Lime,2021-05-17
75,39.2878,-76.5803,Lime,2021-05-17
76,39.286,-76.5809,Lime,2021-05-17
77,39.2843,-76.5813,Lime,2021-05-17
78,39.3547,-76.5823,Lime,2021-05-17
79,39.2965,-76.5836,Lime,2021-05-17
80,39.2828,-76.5836,Lime,2021-05-17
81,39.3291,-76.5883,Lime,2021-05-17
82,39.3247,-76.5894,Lime,2021-05-17
83,39.3152,-76.5901,Lime,2021-05-17
84,39.3108,-76.5919,Lime,2021-05-17
85,39.3083,-76.5924,Lime,2021-05-17
86,39.3079,-76.5927,Lime,2021-05-17
87,39.3165,-76.5949,Lime,2021-05-17
88,39.3232,-76.5951,Lime,2021-05-17
89,39.3104,-76.5962,Lime,2021-05-17
90,39.3207,-76.5966,Lime,2021-05-17
91,39.2792,-76.598,Lime,2021-05-17
92,39.2792,-76.5981,Lime,2021-05-17
93,39.2794,-76.5982,Lime,2021-05-17
94,39.2792,-76.5982,Lime,2021-05-17
95,39.2794,-76.5985,Lime,2021-05-17
96,39.3189,-76.5988,Lime,2021-05-17
97,39.3265,-76.5991,Lime,2021-05-17
98,39.3116,-76.5996,Lime,2021-05-17
99,39.2795,-76.5996,Lime,2021-05-17
100,39.3105,-76.6009,Lime,2021-05-17
101,39.3063,-76.6014,Lime,2021-05-17
102,39.3294,-76.6027,Lime,2021-05-17
103,39.3292,-76.6038,Lime,2021-05-17
104,39.3307,-76.6072,Lime,2021-05-17
105,39.3231,-76.6073,Lime,2021-05-17
106,39.3271,-76.6083,Lime,2021-05-17
107,39.3783,-76.6083,Lime,2021-05-17
108,39.3212,-76.6095,Lime,2021-05-17
109,39.3234,-76.6095,Lime,2021-05-17
110,39.3183,-76.6096,Lime,2021-05-17
111,39.3314,-76.6097,Lime,2021-05-17
112,39.3078,-76.6098,Lime,2021-05-17
113,39.279,-76.6106,Lime,2021-05-17
114,39.3282,-76.611,Lime,2021-05-17
115,39.3113,-76.6116,Lime,2021-05-17
116,39.3091,-76.6122,Lime,2021-05-17
117,39.3251,-76.6126,Lime,2021-05-17
118,39.3251,-76.6128,Lime,2021-05-17
119,39.326,-76.6134,Lime,2021-05-17
120,39.3129,-76.6147,Lime,2021-05-17
121,39.307,-76.6152,Lime,2021-05-17
122,39.307,-76.6155,Lime,2021-05-17
123,39.2787,-76.6164,Lime,2021-05-17
124,39.3088,-76.6164,Lime,2021-05-17
125,39.3087,-76.6165,Lime,2021-05-17
126,39.3087,-76.6165,Lime,2021-05-17
127,39.3172,-76.6168,Lime,2021-05-17
128,39.3137,-76.6179,Lime,2021-05-17
129,39.3367,-76.618,Lime,2021-05-17
130,39.3193,-76.6186,Lime,2021-05-17
131,39.3103,-76.6196,Lime,2021-05-17
132,39.3064,-76.6197,Lime,2021-05-17
133,39.3067,-76.6198,Lime,2021-05-17
134,39.3065,-76.6198,Lime,2021-05-17
135,39.3206,-76.62,Lime,2021-05-17
136,39.3204,-76.6206,Lime,2021-05-17
137,39.3212,-76.6214,Lime,2021-05-17
138,39.3216,-76.6218,Lime,2021-05-17
139,39.2868,-76.5843,Lime,2021-05-17
140,39.2978,-76.5849,Lime,2021-05-17
141,39.2876,-76.5852,Lime,2021-05-17
142,39.2834,-76.5861,Lime,2021-05-17
143,39.2879,-76.5879,Lime,2021-05-17
144,39.2879,-76.5888,Lime,2021-05-17
145,39.2951,-76.589,Lime,2021-05-17
146,39.3,-76.5895,Lime,2021-05-17
147,39.2886,-76.5896,Lime,2021-05-17
148,39.2823,-76.59,Lime,2021-05-17
149,39.2811,-76.5901,Lime,2021-05-17
150,39.2943,-76.5902,Lime,2021-05-17
151,39.2894,-76.5902,Lime,2021-05-17
152,39.282,-76.5908,Lime,2021-05-17
153,39.282,-76.5909,Lime,2021-05-17
154,39.282,-76.5909,Lime,2021-05-17
155,39.2877,-76.5909,Lime,2021-05-17
156,39.2827,-76.591,Lime,2021-05-17
157,39.282,-76.591,Lime,2021-05-17
158,39.2827,-76.5911,Lime,2021-05-17
159,39.2825,-76.5911,Lime,2021-05-17
160,39.2857,-76.5917,Lime,2021-05-17
161,39.2877,-76.5925,Lime,2021-05-17
162,39.2893,-76.5931,Lime,2021-05-17
163,39.2814,-76.5935,Lime,2021-05-17
164,39.2811,-76.5945,Lime,2021-05-17
165,39.2812,-76.5945,Lime,2021-05-17
166,39.2916,-76.5946,Lime,2021-05-17
167,39.3022,-76.5952,Lime,2021-05-17
168,39.2915,-76.5955,Lime,2021-05-17
169,39.2801,-76.5959,Lime,2021-05-17
170,39.2796,-76.5973,Lime,2021-05-17
171,39.2806,-76.5981,Lime,2021-05-17
172,39.2834,-76.5983,Lime,2021-05-17
173,39.28,-76.5983,Lime,2021-05-17
174,39.2814,-76.5989,Lime,2021-05-17
175,39.2855,-76.599,Lime,2021-05-17
176,39.2844,-76.5997,Lime,2021-05-17
177,39.2928,-76.6009,Lime,2021-05-17
178,39.2885,-76.6018,Lime,2021-05-17
179,39.2848,-76.6019,Lime,2021-05-17
180,39.2897,-76.6021,Lime,2021-05-17
181,39.2891,-76.6025,Lime,2021-05-17
182,39.2862,-76.6026,Lime,2021-05-17
183,39.3011,-76.6026,Lime,2021-05-17
184,39.2892,-76.6027,Lime,2021-05-17
185,39.2863,-76.6028,Lime,2021-05-17
186,39.3007,-76.6031,Lime,2021-05-17
187,39.3008,-76.6031,Lime,2021-05-17
188,39.2944,-76.605,Lime,2021-05-17
189,39.2867,-76.6061,Lime,2021-05-17
190,39.2895,-76.6062,Lime,2021-05-17
191,39.2894,-76.6064,Lime,2021-05-17
192,39.2803,-76.6064,Lime,2021-05-17
193,39.2894,-76.6064,Lime,2021-05-17
194,39.2893,-76.6064,Lime,2021-05-17
195,39.2894,-76.6065,Lime,2021-05-17
196,39.2895,-76.6066,Lime,2021-05-17
197,39.287,-76.6072,Lime,2021-05-17
198,39.2868,-76.6073,Lime,2021-05-17
199,39.2871,-76.6074,Lime,2021-05-17
200,39.2873,-76.6074,Lime,2021-05-17
201,39.2882,-76.6076,Lime,2021-05-17
202,39.2811,-76.6076,Lime,2021-05-17
203,39.2937,-76.6077,Lime,2021-05-17
204,39.2848,-76.6079,Lime,2021-05-17
205,39.2809,-76.6082,Lime,2021-05-17
206,39.2922,-76.6091,Lime,2021-05-17
207,39.2807,-76.6092,Lime,2021-05-17
208,39.2807,-76.6093,Lime,2021-05-17
209,39.2898,-76.6094,Lime,2021-05-17
210,39.2886,-76.6099,Lime,2021-05-17
211,39.2801,-76.6099,Lime,2021-05-17
212,39.2877,-76.61,Lime,2021-05-17
213,39.2801,-76.61,Lime,2021-05-17
214,39.2886,-76.6101,Lime,2021-05-17
215,39.2872,-76.6102,Lime,2021-05-17
216,39.2884,-76.6104,Lime,2021-05-17
217,39.2943,-76.6104,Lime,2021-05-17
218,39.2872,-76.6105,Lime,2021-05-17
219,39.2892,-76.6106,Lime,2021-05-17
220,39.2901,-76.6113,Lime,2021-05-17
221,39.2903,-76.6114,Lime,2021-05-17
222,39.2887,-76.6115,Lime,2021-05-17
223,39.2886,-76.6115,Lime,2021-05-17
224,39.2885,-76.6116,Lime,2021-05-17
225,39.2896,-76.6119,Lime,2021-05-17
226,39.29,-76.6121,Lime,2021-05-17
227,39.2852,-76.6121,Lime,2021-05-17
228,39.2876,-76.6121,Lime,2021-05-17
229,39.2877,-76.6122,Lime,2021-05-17
230,39.2875,-76.6122,Lime,2021-05-17
231,39.2908,-76.6123,Lime,2021-05-17
232,39.293,-76.6123,Lime,2021-05-17
233,39.2873,-76.6125,Lime,2021-05-17
234,39.2953,-76.6125,Lime,2021-05-17
235,39.292,-76.6125,Lime,2021-05-17
236,39.2841,-76.613,Lime,2021-05-17
237,39.2851,-76.6131,Lime,2021-05-17
238,39.3018,-76.6133,Lime,2021-05-17
239,39.288,-76.6135,Lime,2021-05-17
240,39.2886,-76.6137,Lime,2021-05-17
241,39.2881,-76.6137,Lime,2021-05-17
242,39.2927,-76.6137,Lime,2021-05-17
243,39.288,-76.6137,Lime,2021-05-17
244,39.2879,-76.6138,Lime,2021-05-17
245,39.2886,-76.6138,Lime,2021-05-17
246,39.2948,-76.6141,Lime,2021-05-17
247,39.2872,-76.6142,Lime,2021-05-17
248,39.2926,-76.6144,Lime,2021-05-17
249,39.2906,-76.6146,Lime,2021-05-17
250,39.2814,-76.6146,Lime,2021-05-17
251,39.2901,-76.6152,Lime,2021-05-17
252,39.2945,-76.6156,Lime,2021-05-17
253,39.2911,-76.6157,Lime,2021-05-17
254,39.3047,-76.6161,Lime,2021-05-17
255,39.3001,-76.6165,Lime,2021-05-17
256,39.2915,-76.6165,Lime,2021-05-17
257,39.2902,-76.6196,Lime,2021-05-17
258,39.2929,-76.6197,Lime,2021-05-17
259,39.2837,-76.6197,Lime,2021-05-17
260,39.2932,-76.6209,Lime,2021-05-17
261,39.2925,-76.6213,Lime,2021-05-17
262,39.2937,-76.6225,Lime,2021-05-17
263,39.3019,-76.6227,Lime,2021-05-17
264,39.2891,-76.624,Lime,2021-05-17
265,39.2835,-76.6249,Lime,2021-05-17
266,39.3791,-76.6419,Lime,2021-05-17
267,39.2877,-76.6264,Lime,2021-05-17
268,39.2833,-76.6268,Lime,2021-05-17
269,39.3022,-76.6271,Lime,2021-05-17
270,39.2892,-76.6275,Lime,2021-05-17
271,39.2891,-76.6277,Lime,2021-05-17
272,39.2849,-76.6277,Lime,2021-05-17
273,39.3308,-76.628,Lime,2021-05-17
274,39.3287,-76.628,Lime,2021-05-17
275,39.2848,-76.6281,Lime,2021-05-17
276,39.3043,-76.6283,Lime,2021-05-17
277,39.283,-76.6285,Lime,2021-05-17
278,39.288,-76.6286,Lime,2021-05-17
279,39.3206,-76.6292,Lime,2021-05-17
280,39.3364,-76.6294,Lime,2021-05-17
281,39.2841,-76.6296,Lime,2021-05-17
282,39.2926,-76.6297,Lime,2021-05-17
283,39.2829,-76.6297,Lime,2021-05-17
284,39.2842,-76.6297,Lime,2021-05-17
285,39.2841,-76.6298,Lime,2021-05-17
286,39.2842,-76.6302,Lime,2021-05-17
287,39.2842,-76.6302,Lime,2021-05-17
288,39.2843,-76.6303,Lime,2021-05-17
289,39.3352,-76.6304,Lime,2021-05-17
290,39.2861,-76.6305,Lime,2021-05-17
291,39.3366,-76.631,Lime,2021-05-17
292,39.2849,-76.631,Lime,2021-05-17
293,39.3315,-76.6313,Lime,2021-05-17
294,39.3315,-76.6314,Lime,2021-05-17
