,Lat,Lon,Operator,Date
0,45.5265,-122.494,Lime,2021-05-17
1,45.5417,-122.4946,Lime,2021-05-17
2,45.497,-122.5061,Lime,2021-05-17
3,45.5115,-122.5277,Lime,2021-05-17
4,45.5062,-122.5283,Lime,2021-05-17
5,45.5042,-122.5328,Lime,2021-05-17
6,45.5221,-122.5336,Lime,2021-05-17
7,45.5168,-122.5378,Lime,2021-05-17
8,45.5168,-122.5379,Lime,2021-05-17
9,45.5168,-122.5379,Lime,2021-05-17
10,45.5226,-122.5388,Lime,2021-05-17
11,45.5191,-122.5432,Lime,2021-05-17
12,45.5345,-122.5433,Lime,2021-05-17
13,45.5296,-122.546,Lime,2021-05-17
14,45.5038,-122.5493,Lime,2021-05-17
15,45.5299,-122.5566,Lime,2021-05-17
16,45.5264,-122.5579,Lime,2021-05-17
17,45.5298,-122.5582,Lime,2021-05-17
18,45.4872,-122.5621,Lime,2021-05-17
19,45.5304,-122.5709,Lime,2021-05-17
20,45.4904,-122.5786,Lime,2021-05-17
21,45.529,-122.6087,Lime,2021-05-17
22,45.5338,-122.5376,Lime,2021-05-17
23,45.558,-122.538,Lime,2021-05-17
24,45.5583,-122.5473,Lime,2021-05-17
25,45.5572,-122.5592,Lime,2021-05-17
26,45.5606,-122.56,Lime,2021-05-17
27,45.5606,-122.5602,Lime,2021-05-17
28,45.5552,-122.5682,Lime,2021-05-17
29,45.5298,-122.6358,Lime,2021-05-17
30,45.5608,-122.6408,Lime,2021-05-17
31,45.5608,-122.6409,Lime,2021-05-17
32,45.4755,-122.6487,Lime,2021-05-17
33,45.5347,-122.6497,Lime,2021-05-17
34,45.4699,-122.6531,Lime,2021-05-17
35,45.5314,-122.6533,Lime,2021-05-17
36,45.513,-122.6552,Lime,2021-05-17
37,45.5165,-122.6555,Lime,2021-05-17
38,45.5157,-122.6556,Lime,2021-05-17
39,45.5042,-122.5338,Lime,2021-05-17
40,45.4591,-122.6445,Lime,2021-05-17
41,45.4575,-122.6264,Lime,2021-05-17
42,45.4796,-122.5689,Lime,2021-05-17
43,45.4575,-122.6263,Lime,2021-05-17
44,45.4576,-122.6263,Lime,2021-05-17
45,45.4575,-122.6263,Lime,2021-05-17
46,45.4575,-122.6263,Lime,2021-05-17
47,45.4575,-122.6264,Lime,2021-05-17
48,45.4575,-122.6264,Lime,2021-05-17
49,45.4575,-122.6264,Lime,2021-05-17
50,45.4575,-122.6264,Lime,2021-05-17
51,45.4575,-122.6264,Lime,2021-05-17
52,45.4575,-122.6264,Lime,2021-05-17
53,45.4575,-122.6265,Lime,2021-05-17
54,45.4575,-122.6265,Lime,2021-05-17
55,45.4575,-122.6266,Lime,2021-05-17
56,45.5264,-122.4939,Lime,2021-05-17
57,45.5165,-122.538,Lime,2021-05-17
58,45.5226,-122.538,Lime,2021-05-17
59,45.5222,-122.5385,Lime,2021-05-17
60,45.5335,-122.5563,Lime,2021-05-17
61,45.5295,-122.5606,Lime,2021-05-17
62,45.5296,-122.5612,Lime,2021-05-17
63,45.5137,-122.4825,Lime,2021-05-17
64,45.5265,-122.494,Lime,2021-05-17
65,45.4948,-122.4963,Lime,2021-05-17
66,45.5082,-122.5018,Lime,2021-05-17
67,45.4941,-122.5043,Lime,2021-05-17
68,45.5103,-122.5133,Lime,2021-05-17
69,45.5044,-122.5179,Lime,2021-05-17
70,45.5103,-122.5217,Lime,2021-05-17
71,45.5041,-122.5297,Lime,2021-05-17
72,45.5192,-122.5302,Lime,2021-05-17
73,45.4768,-122.5316,Lime,2021-05-17
74,45.4906,-122.5329,Lime,2021-05-17
75,45.4922,-122.535,Lime,2021-05-17
76,45.4982,-122.5375,Lime,2021-05-17
77,45.5204,-122.5387,Lime,2021-05-17
78,45.5331,-122.5428,Lime,2021-05-17
79,45.5483,-122.5446,Lime,2021-05-17
80,45.5262,-122.5457,Lime,2021-05-17
81,45.5225,-122.5573,Lime,2021-05-17
82,45.5298,-122.5583,Lime,2021-05-17
83,45.5296,-122.5607,Lime,2021-05-17
84,45.4827,-122.5668,Lime,2021-05-17
85,45.5508,-122.5786,Lime,2021-05-17
86,45.5511,-122.5833,Lime,2021-05-17
87,45.5335,-122.5871,Lime,2021-05-17
88,45.4686,-122.5997,Lime,2021-05-17
89,45.527,-122.6077,Lime,2021-05-17
90,45.527,-122.608,Lime,2021-05-17
91,45.4577,-122.6263,Lime,2021-05-17
92,45.4576,-122.6263,Lime,2021-05-17
93,45.4574,-122.6263,Lime,2021-05-17
94,45.4576,-122.6264,Lime,2021-05-17
95,45.4575,-122.6264,Lime,2021-05-17
96,45.4576,-122.6264,Lime,2021-05-17
97,45.4575,-122.6264,Lime,2021-05-17
98,45.4576,-122.6264,Lime,2021-05-17
99,45.4615,-122.6277,Lime,2021-05-17
100,45.4615,-122.6295,Lime,2021-05-17
101,45.4615,-122.6296,Lime,2021-05-17
102,45.4739,-122.6487,Lime,2021-05-17
103,45.4738,-122.6504,Lime,2021-05-17
104,45.5333,-122.6521,Lime,2021-05-17
105,45.5338,-122.6628,Lime,2021-05-17
106,45.5032,-122.6707,Lime,2021-05-17
107,45.5237,-122.6715,Lime,2021-05-17
108,45.5038,-122.6716,Lime,2021-05-17
109,45.5253,-122.6716,Lime,2021-05-17
110,45.4991,-122.6717,Lime,2021-05-17
111,45.5037,-122.672,Lime,2021-05-17
112,45.5212,-122.6728,Lime,2021-05-17
113,45.5233,-122.6735,Lime,2021-05-17
114,45.5624,-122.675,Lime,2021-05-17
