,Lat,Lon,Operator,Date
0,37.7497,-122.3856,Lime,2021-05-17
1,37.7675,-122.3863,Lime,2021-05-17
2,37.771,-122.3863,Lime,2021-05-17
3,37.7696,-122.3865,Lime,2021-05-17
4,37.7659,-122.3865,Lime,2021-05-17
5,37.7658,-122.3866,Lime,2021-05-17
6,37.7668,-122.3868,Lime,2021-05-17
7,37.767,-122.3868,Lime,2021-05-17
8,37.7635,-122.3877,Lime,2021-05-17
9,37.7882,-122.3878,Lime,2021-05-17
10,37.7731,-122.3878,Lime,2021-05-17
11,37.7669,-122.3878,Lime,2021-05-17
12,37.7609,-122.3879,Lime,2021-05-17
13,37.7409,-122.3879,Lime,2021-05-17
14,37.7821,-122.388,Lime,2021-05-17
15,37.7658,-122.3881,Lime,2021-05-17
16,37.7668,-122.3881,Lime,2021-05-17
17,37.766,-122.3881,Lime,2021-05-17
18,37.767,-122.3882,Lime,2021-05-17
19,37.7668,-122.3882,Lime,2021-05-17
20,37.7657,-122.3882,Lime,2021-05-17
21,37.7613,-122.3883,Lime,2021-05-17
22,37.7673,-122.3883,Lime,2021-05-17
23,37.7672,-122.3884,Lime,2021-05-17
24,37.767,-122.3884,Lime,2021-05-17
25,37.7588,-122.3886,Lime,2021-05-17
26,37.7671,-122.3886,Lime,2021-05-17
27,37.7409,-122.3887,Lime,2021-05-17
28,37.7613,-122.3888,Lime,2021-05-17
29,37.7689,-122.3888,Lime,2021-05-17
30,37.7608,-122.3888,Lime,2021-05-17
31,37.7635,-122.3889,Lime,2021-05-17
32,37.761,-122.3891,Lime,2021-05-17
33,37.7556,-122.3891,Lime,2021-05-17
34,37.7674,-122.3893,Lime,2021-05-17
35,37.7391,-122.3894,Lime,2021-05-17
36,37.7391,-122.3894,Lime,2021-05-17
37,37.7391,-122.3894,Lime,2021-05-17
38,37.7543,-122.3898,Lime,2021-05-17
39,37.7374,-122.3898,Lime,2021-05-17
40,37.7372,-122.39,Lime,2021-05-17
41,37.737,-122.39,Lime,2021-05-17
42,37.7369,-122.3901,Lime,2021-05-17
43,37.741,-122.3902,Lime,2021-05-17
44,37.7351,-122.3905,Lime,2021-05-17
45,37.7346,-122.3906,Lime,2021-05-17
46,37.7561,-122.3909,Lime,2021-05-17
47,37.7349,-122.391,Lime,2021-05-17
48,37.7561,-122.391,Lime,2021-05-17
49,37.7597,-122.3914,Lime,2021-05-17
50,37.772,-122.3916,Lime,2021-05-17
51,37.7562,-122.3932,Lime,2021-05-17
52,37.7604,-122.3945,Lime,2021-05-17
53,37.7964,-122.3947,Lime,2021-05-17
54,37.8002,-122.3981,Lime,2021-05-17
55,37.7793,-122.4016,Lime,2021-05-17
56,37.7507,-122.4022,Lime,2021-05-17
57,37.766,-122.4022,Lime,2021-05-17
58,37.8049,-122.4024,Lime,2021-05-17
59,37.7685,-122.4062,Lime,2021-05-17
60,37.7897,-122.4072,Lime,2021-05-17
61,37.7958,-122.4079,Lime,2021-05-17
62,37.8088,-122.4095,Lime,2021-05-17
63,37.764,-122.4105,Lime,2021-05-17
64,37.8085,-122.4107,Lime,2021-05-17
65,37.7591,-122.4111,Lime,2021-05-17
66,37.7592,-122.4115,Lime,2021-05-17
67,37.7592,-122.4115,Lime,2021-05-17
68,37.759,-122.4124,Lime,2021-05-17
69,37.7497,-122.4127,Lime,2021-05-17
70,37.8085,-122.4144,Lime,2021-05-17
71,37.7491,-122.4161,Lime,2021-05-17
72,37.7538,-122.4177,Lime,2021-05-17
73,37.7483,-122.4191,Lime,2021-05-17
74,37.75,-122.4205,Lime,2021-05-17
75,37.7483,-122.4209,Lime,2021-05-17
76,37.7572,-122.4213,Lime,2021-05-17
77,37.7586,-122.4214,Lime,2021-05-17
78,37.7606,-122.4215,Lime,2021-05-17
79,37.7661,-122.3863,Lime,2021-05-17
80,37.7676,-122.3864,Lime,2021-05-17
81,37.7685,-122.3864,Lime,2021-05-17
82,37.7658,-122.3864,Lime,2021-05-17
83,37.7687,-122.3865,Lime,2021-05-17
84,37.7692,-122.3866,Lime,2021-05-17
85,37.7691,-122.3867,Lime,2021-05-17
86,37.7671,-122.3868,Lime,2021-05-17
87,37.7648,-122.3873,Lime,2021-05-17
88,37.7605,-122.3878,Lime,2021-05-17
89,37.7643,-122.3878,Lime,2021-05-17
90,37.767,-122.3882,Lime,2021-05-17
91,37.7661,-122.3882,Lime,2021-05-17
92,37.7668,-122.3884,Lime,2021-05-17
93,37.7418,-122.3884,Lime,2021-05-17
94,37.7567,-122.3884,Lime,2021-05-17
95,37.7658,-122.3884,Lime,2021-05-17
96,37.7407,-122.3885,Lime,2021-05-17
97,37.7669,-122.3885,Lime,2021-05-17
98,37.7404,-122.3886,Lime,2021-05-17
99,37.7607,-122.3887,Lime,2021-05-17
100,37.7411,-122.3887,Lime,2021-05-17
101,37.7606,-122.3888,Lime,2021-05-17
102,37.7635,-122.3888,Lime,2021-05-17
103,37.7667,-122.3888,Lime,2021-05-17
104,37.761,-122.389,Lime,2021-05-17
105,37.7391,-122.3894,Lime,2021-05-17
106,37.7607,-122.3894,Lime,2021-05-17
107,37.7385,-122.3896,Lime,2021-05-17
108,37.7386,-122.3897,Lime,2021-05-17
109,37.7377,-122.3898,Lime,2021-05-17
110,37.7547,-122.39,Lime,2021-05-17
111,37.737,-122.39,Lime,2021-05-17
112,37.7515,-122.3901,Lime,2021-05-17
113,37.7346,-122.3905,Lime,2021-05-17
114,37.7346,-122.3905,Lime,2021-05-17
115,37.7349,-122.3908,Lime,2021-05-17
116,37.7347,-122.3909,Lime,2021-05-17
117,37.7348,-122.3909,Lime,2021-05-17
118,37.756,-122.395,Lime,2021-05-17
119,37.7507,-122.4021,Lime,2021-05-17
120,37.7631,-122.4023,Lime,2021-05-17
121,37.7618,-122.4042,Lime,2021-05-17
122,37.7529,-122.4076,Lime,2021-05-17
123,37.7529,-122.4076,Lime,2021-05-17
124,37.7513,-122.4077,Lime,2021-05-17
125,37.753,-122.4077,Lime,2021-05-17
126,37.7529,-122.4079,Lime,2021-05-17
127,37.747,-122.4106,Lime,2021-05-17
128,37.7592,-122.4114,Lime,2021-05-17
129,37.7588,-122.4115,Lime,2021-05-17
130,37.7484,-122.4119,Lime,2021-05-17
131,37.7589,-122.4124,Lime,2021-05-17
132,37.7503,-122.4134,Lime,2021-05-17
133,37.739,-122.4136,Lime,2021-05-17
134,37.7605,-122.4138,Lime,2021-05-17
135,37.7626,-122.4139,Lime,2021-05-17
136,37.7525,-122.4154,Lime,2021-05-17
137,37.7603,-122.4173,Lime,2021-05-17
138,37.7527,-122.4184,Lime,2021-05-17
139,37.7394,-122.4188,Lime,2021-05-17
140,37.7522,-122.4191,Lime,2021-05-17
141,37.7556,-122.4194,Lime,2021-05-17
142,37.757,-122.4198,Lime,2021-05-17
143,37.7618,-122.42,Lime,2021-05-17
