,Lat,Lon,Operator,Date
0,42.27415,-83.74264,Spin,2021-05-17
1,42.27508,-83.7433,Spin,2021-05-17
2,42.27415,-83.74256,Spin,2021-05-17
3,42.27508,-83.74333,Spin,2021-05-17
4,42.26956,-83.74258,Spin,2021-05-17
5,42.24621,-83.74158,Spin,2021-05-17
6,42.28522,-83.74058,Spin,2021-05-17
7,42.24658,-83.75271,Spin,2021-05-17
8,42.27537,-83.72618,Spin,2021-05-17
9,42.2749,-83.7396,Spin,2021-05-17
10,42.27869,-83.74042,Spin,2021-05-17
11,42.26968,-83.74249,Spin,2021-05-17
12,42.27367,-83.73472,Spin,2021-05-17
13,42.24294,-83.76476,Spin,2021-05-17
14,42.24634,-83.73435,Spin,2021-05-17
15,42.27878,-83.74314,Spin,2021-05-17
16,42.2741,-83.74257,Spin,2021-05-17
17,42.25692,-83.67532,Spin,2021-05-17
18,42.25693,-83.67531,Spin,2021-05-17
19,42.2575,-83.73608,Spin,2021-05-17
20,42.27415,-83.74139,Spin,2021-05-17
21,42.2677,-83.75043,Spin,2021-05-17
22,42.24404,-83.7569,Spin,2021-05-17
23,42.2788,-83.74321,Spin,2021-05-17
24,42.29712,-83.86539,Spin,2021-05-17
25,42.28544,-83.75182,Spin,2021-05-17
26,42.28015,-83.74191,Spin,2021-05-17
27,42.27867,-83.74043,Spin,2021-05-17
28,42.27878,-83.74319,Spin,2021-05-17
29,42.27508,-83.73718,Spin,2021-05-17
30,42.2988,-83.75532,Spin,2021-05-17
31,42.27863,-83.74053,Spin,2021-05-17
32,42.27418,-83.74253,Spin,2021-05-17
33,42.27264,-83.75311,Spin,2021-05-17
34,42.26964,-83.74236,Spin,2021-05-17
35,42.28539,-83.71717,Spin,2021-05-17
36,42.284,-83.74111,Spin,2021-05-17
37,42.2787,-83.74048,Spin,2021-05-17
38,42.27448,-83.73313,Spin,2021-05-17
39,42.28062,-83.74861,Spin,2021-05-17
40,42.27639,-83.74512,Spin,2021-05-17
41,42.2749,-83.73966,Spin,2021-05-17
42,42.29478,-83.7364,Spin,2021-05-17
43,42.28873,-83.7518,Spin,2021-05-17
44,42.28339,-83.74243,Spin,2021-05-17
45,42.3005,-83.7193,Spin,2021-05-17
46,42.27794,-83.74708,Spin,2021-05-17
47,42.27793,-83.7471,Spin,2021-05-17
48,42.28068,-83.75309,Spin,2021-05-17
49,42.28933,-83.75465,Spin,2021-05-17
50,42.27418,-83.73434,Spin,2021-05-17
51,42.2391,-83.74157,Spin,2021-05-17
52,42.29441,-83.69865,Spin,2021-05-17
53,42.26959,-83.7425,Spin,2021-05-17
54,42.2879,-83.74429,Spin,2021-05-17
55,42.27424,-83.74261,Spin,2021-05-17
56,42.29739,-83.76578,Spin,2021-05-17
57,42.27506,-83.73713,Spin,2021-05-17
58,42.27351,-83.74945,Spin,2021-05-17
59,42.28689,-83.7185,Spin,2021-05-17
60,42.27465,-83.73318,Spin,2021-05-17
61,42.26222,-83.77976,Spin,2021-05-17
62,42.27004,-83.74257,Spin,2021-05-17
63,42.28244,-83.74937,Spin,2021-05-17
64,42.27355,-83.74927,Spin,2021-05-17
65,42.27533,-83.74416,Spin,2021-05-17
66,42.27387,-83.75101,Spin,2021-05-17
67,42.24107,-83.7556,Spin,2021-05-17
68,42.27487,-83.7397,Spin,2021-05-17
69,42.25168,-83.75213,Spin,2021-05-17
70,42.26627,-83.73266,Spin,2021-05-17
71,42.27634,-83.72756,Spin,2021-05-17
72,42.27862,-83.74045,Spin,2021-05-17
73,42.25888,-83.73347,Spin,2021-05-17
74,42.26707,-83.77047,Spin,2021-05-17
75,42.27506,-83.73715,Spin,2021-05-17
76,42.26963,-83.74254,Spin,2021-05-17
77,42.28061,-83.75237,Spin,2021-05-17
78,42.29831,-83.76593,Spin,2021-05-17
79,42.27796,-83.75294,Spin,2021-05-17
80,42.26471,-83.71855,Spin,2021-05-17
81,42.27421,-83.7469,Spin,2021-05-17
82,42.27362,-83.74951,Spin,2021-05-17
83,42.30169,-83.71924,Spin,2021-05-17
84,42.28401,-83.72645,Spin,2021-05-17
85,42.27869,-83.74047,Spin,2021-05-17
86,42.2747,-83.7329,Spin,2021-05-17
87,42.23889,-83.70129,Spin,2021-05-17
88,42.24102,-83.7556,Spin,2021-05-17
89,42.26965,-83.74249,Spin,2021-05-17
90,42.27418,-83.75004,Spin,2021-05-17
91,42.25837,-83.75033,Spin,2021-05-17
92,42.27415,-83.75,Spin,2021-05-17
93,42.28824,-83.75653,Spin,2021-05-17
94,42.28455,-83.73459,Spin,2021-05-17
95,42.2412,-83.75606,Spin,2021-05-17
96,42.2399,-83.75418,Spin,2021-05-17
97,42.28801,-83.78065,Spin,2021-05-17
98,42.25646,-83.7665,Spin,2021-05-17
