,Lat,Lon,Operator,Date
0,39.09810152048694,-94.5814383652962,Spin,2021-05-17
1,39.0875025,-94.5946733,Spin,2021-05-17
2,39.1082153,-94.5829015,Spin,2021-05-17
3,39.02369247753082,-94.57662893468009,Spin,2021-05-17
4,39.053502,-94.594086,Spin,2021-05-17
5,39.09860724004652,-94.58550555684194,Spin,2021-05-17
6,39.0778043,-94.579842,Spin,2021-05-17
7,39.1082205,-94.5828868,Spin,2021-05-17
8,39.10964,-94.58318,Spin,2021-05-17
9,39.10949,-94.58469,Spin,2021-05-17
10,39.05226,-94.59209,Spin,2021-05-17
11,39.03936,-94.58229,Spin,2021-05-17
12,39.093309,-94.578349,Spin,2021-05-17
13,39.10223,-94.583164,Spin,2021-05-17
14,39.052349,-94.59181,Spin,2021-05-17
15,39.109374,-94.584501,Spin,2021-05-17
16,39.10935,-94.584395,Spin,2021-05-17
17,39.0413,-94.5728,Spin,2021-05-17
18,39.108726,-94.585827,Spin,2021-05-17
19,39.093325,-94.57842,Spin,2021-05-17
20,38.981314,-94.575259,Spin,2021-05-17
21,39.109279,-94.562035,Spin,2021-05-17
22,39.098047,-94.577449,Spin,2021-05-17
23,39.109643,-94.583983,Spin,2021-05-17
24,39.098502,-94.58299,Spin,2021-05-17
25,39.096571,-94.583075,Spin,2021-05-17
26,39.109895,-94.583239,Spin,2021-05-17
27,39.03391,-94.5841,Spin,2021-05-17
28,39.103949,-94.580706,Spin,2021-05-17
29,39.059309,-94.59176,Spin,2021-05-17
30,39.107791,-94.589263,Spin,2021-05-17
31,38.994237,-94.594038,Spin,2021-05-17
32,39.119043,-94.568885,Spin,2021-05-17
33,39.056038,-94.594317,Spin,2021-05-17
34,39.09464,-94.60498,Spin,2021-05-17
35,39.119444,-94.568627,Spin,2021-05-17
36,39.054559,-94.594022,Spin,2021-05-17
37,39.093993,-94.518677,Spin,2021-05-17
38,39.094022,-94.518708,Spin,2021-05-17
39,39.096812,-94.582335,Spin,2021-05-17
40,39.029354,-94.575472,Spin,2021-05-17
41,39.110058,-94.586919,Spin,2021-05-17
42,39.094579,-94.586097,Spin,2021-05-17
43,39.1093,-94.562073,Spin,2021-05-17
44,39.094041,-94.518743,Spin,2021-05-17
45,39.101867,-94.590075,Spin,2021-05-17
46,39.06403,-94.58934,Spin,2021-05-17
47,39.091446,-94.575669,Spin,2021-05-17
48,39.084754,-94.589054,Spin,2021-05-17
49,39.118371,-94.569509,Spin,2021-05-17
50,39.091545,-94.579093,Spin,2021-05-17
51,39.089592,-94.579346,Spin,2021-05-17
52,39.110239,-94.586174,Spin,2021-05-17
53,39.109656,-94.583139,Spin,2021-05-17
54,39.088587,-94.586565,Spin,2021-05-17
55,39.042218,-94.602723,Spin,2021-05-17
56,39.108569,-94.581442,Spin,2021-05-17
57,39.110188,-94.586165,Spin,2021-05-17
58,39.108677,-94.581439,Spin,2021-05-17
59,39.092724,-94.562037,Spin,2021-05-17
60,39.108543,-94.581308,Spin,2021-05-17
61,39.110975,-94.578635,Spin,2021-05-17
62,39.0777,-94.58058,Spin,2021-05-17
63,39.113815,-94.523426,Spin,2021-05-17
64,39.10989,-94.583246,Spin,2021-05-17
65,39.03389,-94.58411,Spin,2021-05-17
66,39.115502,-94.543207,Spin,2021-05-17
67,39.092563,-94.58159,Spin,2021-05-17
68,39.08396,-94.582872,Spin,2021-05-17
69,39.099685,-94.578454,Spin,2021-05-17
70,39.093416,-94.593264,Spin,2021-05-17
71,39.091524,-94.585586,Spin,2021-05-17
72,39.103939,-94.585646,Spin,2021-05-17
