,Lat,Lon,Operator,Date
0,45.517903,-122.6790139,Spin,2021-05-17
1,45.47381,-122.64867,Spin,2021-05-17
2,45.51589,-122.68142,Spin,2021-05-17
3,45.46864,-122.65281,Spin,2021-05-17
4,45.474,-122.64177,Spin,2021-05-17
5,45.49909,-122.67226,Spin,2021-05-17
6,45.52111,-122.67277,Spin,2021-05-17
7,45.49094,-122.67708,Spin,2021-05-17
8,45.52372,-122.66212,Spin,2021-05-17
9,45.53274,-122.69237,Spin,2021-05-17
10,45.5533,-122.66703,Spin,2021-05-17
11,45.56334,-122.5643,Spin,2021-05-17
12,45.48828,-122.67283,Spin,2021-05-17
13,45.50602,-122.66331,Spin,2021-05-17
14,45.55143,-122.57634,Spin,2021-05-17
15,45.55211,-122.66669,Spin,2021-05-17
16,45.53146,-122.68536,Spin,2021-05-17
17,45.50392,-122.67125,Spin,2021-05-17
18,45.5772,-122.70419,Spin,2021-05-17
19,45.52246,-122.67413,Spin,2021-05-17
20,45.52368,-122.68096,Spin,2021-05-17
21,45.52367,-122.68455,Spin,2021-05-17
22,45.53663,-122.70085,Spin,2021-05-17
23,45.52889,-122.67412,Spin,2021-05-17
24,45.52704,-122.69812,Spin,2021-05-17
25,45.48494,-122.67377,Spin,2021-05-17
26,45.52405,-122.67037,Spin,2021-05-17
27,45.52788,-122.67291,Spin,2021-05-17
28,45.51548,-122.67394,Spin,2021-05-17
29,45.50308,-122.68381,Spin,2021-05-17
30,45.51897,-122.67643,Spin,2021-05-17
31,45.52114,-122.67604,Spin,2021-05-17
32,45.52124,-122.67591,Spin,2021-05-17
33,45.50558,-122.65764,Spin,2021-05-17
34,45.52864,-122.68546,Spin,2021-05-17
35,45.55911,-122.64399,Spin,2021-05-17
36,45.55464,-122.67588,Spin,2021-05-17
37,45.52441,-122.67039,Spin,2021-05-17
38,45.50598,-122.66332,Spin,2021-05-17
39,45.51723,-122.68051,Spin,2021-05-17
40,45.52248,-122.67684,Spin,2021-05-17
41,45.52441,-122.67001,Spin,2021-05-17
42,45.50046,-122.67189,Spin,2021-05-17
43,45.52803,-122.68434,Spin,2021-05-17
44,45.52669,-122.70129,Spin,2021-05-17
45,45.50883,-122.67504,Spin,2021-05-17
46,45.52379,-122.68451,Spin,2021-05-17
47,45.52456,-122.6831,Spin,2021-05-17
48,45.50018,-122.67188,Spin,2021-05-17
49,45.52104,-122.67427,Spin,2021-05-17
50,45.52941,-122.6843,Spin,2021-05-17
51,45.53801,-122.68879,Spin,2021-05-17
52,45.54175,-122.65852,Spin,2021-05-17
53,45.55091,-122.67558,Spin,2021-05-17
54,45.4988,-122.64337,Spin,2021-05-17
55,45.52609,-122.6863,Spin,2021-05-17
56,45.51174,-122.67448,Spin,2021-05-17
57,45.47386,-122.64869,Spin,2021-05-17
58,45.5187,-122.65377,Spin,2021-05-17
59,45.5282,-122.67348,Spin,2021-05-17
60,45.52286,-122.68401,Spin,2021-05-17
61,45.50802,-122.65899,Spin,2021-05-17
62,45.51582,-122.69175,Spin,2021-05-17
63,45.51517,-122.65883,Spin,2021-05-17
64,45.50876,-122.65361,Spin,2021-05-17
65,45.5187,-122.65379,Spin,2021-05-17
66,45.5226,-122.67322,Spin,2021-05-17
67,45.52812,-122.67314,Spin,2021-05-17
68,45.51176,-122.67452,Spin,2021-05-17
69,45.49648,-122.67166,Spin,2021-05-17
70,45.51805,-122.68007,Spin,2021-05-17
71,45.52302,-122.6922,Spin,2021-05-17
72,45.52404,-122.67028,Spin,2021-05-17
73,45.50904,-122.6734,Spin,2021-05-17
74,45.47408,-122.64183,Spin,2021-05-17
75,45.52187,-122.69438,Spin,2021-05-17
76,45.54949,-122.66683,Spin,2021-05-17
77,45.53389,-122.70488,Spin,2021-05-17
78,45.52265,-122.67342,Spin,2021-05-17
79,45.49036,-122.63753,Spin,2021-05-17
80,45.50068,-122.67177,Spin,2021-05-17
81,45.52787,-122.68862,Spin,2021-05-17
82,45.52084,-122.69799,Spin,2021-05-17
83,45.51366,-122.66789,Spin,2021-05-17
84,45.46653,-122.65236,Spin,2021-05-17
85,45.53382,-122.68558,Spin,2021-05-17
86,45.50642,-122.67883,Spin,2021-05-17
87,45.53083,-122.68043,Spin,2021-05-17
88,45.52844,-122.69108,Spin,2021-05-17
89,45.51921,-122.68128,Spin,2021-05-17
90,45.51549,-122.6829,Spin,2021-05-17
91,45.49758,-122.58222,Spin,2021-05-17
92,45.52439,-122.68311,Spin,2021-05-17
93,45.55335,-122.66691,Spin,2021-05-17
94,45.50687,-122.6588,Spin,2021-05-17
95,45.54851,-122.60998,Spin,2021-05-17
96,45.51235,-122.65278,Spin,2021-05-17
97,45.51577,-122.66501,Spin,2021-05-17
98,45.52518,-122.6836,Spin,2021-05-17
99,45.53269,-122.69186,Spin,2021-05-17
100,45.53105,-122.68553,Spin,2021-05-17
101,45.52909,-122.68026,Spin,2021-05-17
102,45.50232,-122.68118,Spin,2021-05-17
103,45.53254,-122.68463,Spin,2021-05-17
104,45.51544,-122.67394,Spin,2021-05-17
105,45.50924,-122.67518,Spin,2021-05-17
106,45.51162,-122.58109,Spin,2021-05-17
107,45.51635,-122.65986,Spin,2021-05-17
108,45.52155,-122.68456,Spin,2021-05-17
109,45.51695,-122.68255,Spin,2021-05-17
110,45.5554,-122.59819,Spin,2021-05-17
111,45.56273,-122.65928,Spin,2021-05-17
112,45.48973,-122.57808,Spin,2021-05-17
113,45.54952,-122.66684,Spin,2021-05-17
114,45.52167,-122.67265,Spin,2021-05-17
115,45.54757,-122.66686,Spin,2021-05-17
116,45.51255,-122.67753,Spin,2021-05-17
117,45.50604,-122.66332,Spin,2021-05-17
118,45.52791,-122.68381,Spin,2021-05-17
119,45.52363,-122.66215,Spin,2021-05-17
120,45.52105,-122.67426,Spin,2021-05-17
121,45.52623,-122.68004,Spin,2021-05-17
122,45.50937,-122.67374,Spin,2021-05-17
123,45.55897,-122.63597,Spin,2021-05-17
124,45.5297,-122.70262,Spin,2021-05-17
125,45.52103,-122.67427,Spin,2021-05-17
126,45.49914,-122.67165,Spin,2021-05-17
127,45.52118,-122.69927,Spin,2021-05-17
128,45.50513,-122.65363,Spin,2021-05-17
129,45.59408,-122.68072,Spin,2021-05-17
130,45.4729,-122.64875,Spin,2021-05-17
131,45.52884,-122.67399,Spin,2021-05-17
132,45.55213,-122.67541,Spin,2021-05-17
133,45.52438,-122.65017,Spin,2021-05-17
134,45.51247,-122.6151,Spin,2021-05-17
135,45.56284,-122.67719,Spin,2021-05-17
136,45.55455,-122.67555,Spin,2021-05-17
137,45.50605,-122.66339,Spin,2021-05-17
138,45.54819,-122.6622,Spin,2021-05-17
139,45.51545,-122.67392,Spin,2021-05-17
140,45.51661,-122.65974,Spin,2021-05-17
141,45.51736,-122.68464,Spin,2021-05-17
142,45.47852,-122.6265,Spin,2021-05-17
