,Lat,Lon,Operator,Date
0,42.6705,-83.2132,Spin,2021-05-17
1,42.67924,-83.21032,Spin,2021-05-17
2,42.67926,-83.21038,Spin,2021-05-17
3,42.67359,-83.21344,Spin,2021-05-17
4,42.67722,-83.2161,Spin,2021-05-17
5,42.67073,-83.21729,Spin,2021-05-17
6,42.67718,-83.21473,Spin,2021-05-17
7,42.67049,-83.21323,Spin,2021-05-17
8,42.67599,-83.21836,Spin,2021-05-17
9,42.67043,-83.21312,Spin,2021-05-17
10,42.67924,-83.21031,Spin,2021-05-17
11,42.67102,-83.21294,Spin,2021-05-17
12,42.67265,-83.21625,Spin,2021-05-17
13,42.67049,-83.21319,Spin,2021-05-17
14,42.67926,-83.21029,Spin,2021-05-17
15,42.6717,-83.21579,Spin,2021-05-17
16,42.67393,-83.218,Spin,2021-05-17
17,42.67397,-83.21534,Spin,2021-05-17
18,42.67945,-83.21028,Spin,2021-05-17
19,42.67457,-83.21499,Spin,2021-05-17
20,42.67922,-83.21032,Spin,2021-05-17
21,42.67717,-83.21472,Spin,2021-05-17
22,42.67922,-83.21032,Spin,2021-05-17
23,42.67457,-83.21496,Spin,2021-05-17
24,42.67047,-83.21318,Spin,2021-05-17
25,42.67176,-83.21578,Spin,2021-05-17
26,42.67669,-83.21461,Spin,2021-05-17
27,42.6772,-83.21476,Spin,2021-05-17
28,42.67719,-83.21477,Spin,2021-05-17
29,42.679569,-83.210184,Spin,2021-05-17
30,42.67927,-83.21029,Spin,2021-05-17
31,42.6772,-83.21474,Spin,2021-05-17
32,42.67404,-83.2155,Spin,2021-05-17
33,42.67863,-83.21206,Spin,2021-05-17
34,42.67925308623655,-83.21025401151086,Spin,2021-05-17
35,42.67726105641823,-83.21610155523122,Spin,2021-05-17
