,Lat,Lon,Operator,Date
0,38.79583,-77.04914,Spin,2021-05-16
1,38.83407,-77.10892,Spin,2021-05-16
2,38.83314,-77.08521,Spin,2021-05-16
3,38.82761,-77.0591,Spin,2021-05-16
4,38.83406,-77.10895,Spin,2021-05-16
5,38.83252,-77.05073,Spin,2021-05-16
6,42.29032,-83.74089,Spin,2021-05-16
7,42.27343,-83.74996,Spin,2021-05-16
8,42.28138,-83.73809,Spin,2021-05-16
9,42.24103,-83.75559,Spin,2021-05-16
10,42.28201,-83.76462,Spin,2021-05-16
11,42.25704,-83.73498,Spin,2021-05-16
12,42.29379,-83.73855,Spin,2021-05-16
13,42.27603,-83.74623,Spin,2021-05-16
14,42.2739,-83.75779,Spin,2021-05-16
15,42.23985,-83.75416,Spin,2021-05-16
16,42.27008,-83.73055,Spin,2021-05-16
17,42.25823,-83.73794,Spin,2021-05-16
18,42.2849,-83.75648,Spin,2021-05-16
19,42.26733,-83.73617,Spin,2021-05-16
20,42.27384,-83.7792,Spin,2021-05-16
21,42.29673,-83.73649,Spin,2021-05-16
22,42.29058,-83.75812,Spin,2021-05-16
23,42.28443,-83.74247,Spin,2021-05-16
24,42.28506,-83.75635,Spin,2021-05-16
25,42.25883,-83.71191,Spin,2021-05-16
26,42.26972,-83.73859,Spin,2021-05-16
27,42.28201,-83.76466,Spin,2021-05-16
28,42.2578,-83.7334,Spin,2021-05-16
29,42.27057,-83.7315,Spin,2021-05-16
30,42.2739,-83.75775,Spin,2021-05-16
31,42.26672,-83.73939,Spin,2021-05-16
32,42.2802,-83.74292,Spin,2021-05-16
33,42.2903,-83.75425,Spin,2021-05-16
34,42.28918,-83.73325,Spin,2021-05-16
35,42.27886,-83.73474,Spin,2021-05-16
36,42.27726,-83.75345,Spin,2021-05-16
37,42.28241,-83.74939,Spin,2021-05-16
38,42.28304,-83.73841,Spin,2021-05-16
39,42.28273,-83.73841,Spin,2021-05-16
40,42.25685,-83.73486,Spin,2021-05-16
41,42.25903,-83.73184,Spin,2021-05-16
42,42.27161,-83.73946,Spin,2021-05-16
43,42.27159,-83.73946,Spin,2021-05-16
44,42.2568,-83.73532,Spin,2021-05-16
45,42.27016,-83.73055,Spin,2021-05-16
46,42.2487,-83.72475,Spin,2021-05-16
47,42.283,-83.73844,Spin,2021-05-16
48,42.26877,-83.73064,Spin,2021-05-16
49,42.27735,-83.73085,Spin,2021-05-16
50,42.2625,-83.73142,Spin,2021-05-16
51,42.25843,-83.75033,Spin,2021-05-16
52,42.27643,-83.7328,Spin,2021-05-16
53,42.26733,-83.73629,Spin,2021-05-16
54,42.2826,-83.73856,Spin,2021-05-16
55,42.25647,-83.76651,Spin,2021-05-16
56,42.27387,-83.77919,Spin,2021-05-16
57,42.25237,-83.75164,Spin,2021-05-16
58,42.26735,-83.73633,Spin,2021-05-16
