,Lat,Lon,Operator,Date
0,41.48318,-81.70507,Spin,2021-05-17
1,41.5043885,-81.6901936,Spin,2021-05-17
2,41.5253,-81.60167,Spin,2021-05-17
3,41.51596,-81.60447,Spin,2021-05-17
4,41.50177,-81.69382,Spin,2021-05-17
5,41.50199,-81.69607,Spin,2021-05-17
6,41.48319,-81.70499,Spin,2021-05-17
7,41.48436,-81.72647,Spin,2021-05-17
8,41.51184,-81.60352,Spin,2021-05-17
9,41.49755,-81.69684,Spin,2021-05-17
10,41.5146,-81.61062,Spin,2021-05-17
11,41.50048,-81.68331,Spin,2021-05-17
12,41.50022,-81.69759,Spin,2021-05-17
13,41.50694,-81.65161,Spin,2021-05-17
14,41.50127,-81.67987,Spin,2021-05-17
15,41.49998,-81.66711,Spin,2021-05-17
16,41.53875,-81.63981,Spin,2021-05-17
17,41.5068,-81.67331,Spin,2021-05-17
18,41.49305,-81.65401,Spin,2021-05-17
19,41.53217,-81.61542,Spin,2021-05-17
20,41.51184,-81.67466,Spin,2021-05-17
21,41.46205,-81.69177,Spin,2021-05-17
22,41.49898,-81.70063,Spin,2021-05-17
23,41.47159,-81.7431,Spin,2021-05-17
24,41.50691,-81.68903,Spin,2021-05-17
25,41.51119,-81.60233,Spin,2021-05-17
26,41.50067,-81.69191,Spin,2021-05-17
27,41.51001,-81.60431,Spin,2021-05-17
28,41.50938,-81.69502,Spin,2021-05-17
29,41.46186,-81.70929,Spin,2021-05-17
30,41.50035,-81.68685,Spin,2021-05-17
31,41.50647,-81.69631,Spin,2021-05-17
32,41.50665,-81.67814,Spin,2021-05-17
33,41.53213,-81.6154,Spin,2021-05-17
34,41.52072,-81.60832,Spin,2021-05-17
35,41.5185,-81.63731,Spin,2021-05-17
36,41.47973,-81.77046,Spin,2021-05-17
37,41.48978,-81.73806,Spin,2021-05-17
38,41.51186,-81.67465,Spin,2021-05-17
39,41.48598,-81.60889,Spin,2021-05-17
40,41.51239,-81.60398,Spin,2021-05-17
41,41.50536,-81.68787,Spin,2021-05-17
42,41.49491,-81.68735,Spin,2021-05-17
43,41.48929,-81.73769,Spin,2021-05-17
44,41.49933,-81.7062,Spin,2021-05-17
45,41.49907,-81.68649,Spin,2021-05-17
46,41.46066,-81.6921,Spin,2021-05-17
47,41.50063,-81.68281,Spin,2021-05-17
48,41.50264,-81.68864,Spin,2021-05-17
49,41.50092,-81.61335,Spin,2021-05-17
50,41.50409,-81.68868,Spin,2021-05-17
51,41.49669,-81.69148,Spin,2021-05-17
52,41.50902,-81.67399,Spin,2021-05-17
53,41.48665,-81.70477,Spin,2021-05-17
54,41.50177,-81.69403,Spin,2021-05-17
55,41.49908,-81.69509,Spin,2021-05-17
56,41.49835,-81.68908,Spin,2021-05-17
57,41.50823,-81.60783,Spin,2021-05-17
58,41.50101,-81.6939,Spin,2021-05-17
59,41.49971,-81.68603,Spin,2021-05-17
60,41.51724,-81.60472,Spin,2021-05-17
61,41.50746,-81.61309,Spin,2021-05-17
62,41.50694,-81.67967,Spin,2021-05-17
63,41.49674,-81.63068,Spin,2021-05-17
64,41.50738,-81.68819,Spin,2021-05-17
65,41.50689,-81.67991,Spin,2021-05-17
66,41.47835,-81.6811,Spin,2021-05-17
67,41.50697,-81.67966,Spin,2021-05-17
68,41.504,-81.69403,Spin,2021-05-17
69,41.48496,-81.70885,Spin,2021-05-17
70,41.49687,-81.69921,Spin,2021-05-17
71,41.50104,-81.68869,Spin,2021-05-17
72,41.50398,-81.69385,Spin,2021-05-17
73,41.5065,-81.59199,Spin,2021-05-17
74,41.4784,-81.68102,Spin,2021-05-17
75,41.50905,-81.67398,Spin,2021-05-17
76,41.49993,-81.68995,Spin,2021-05-17
77,41.50403,-81.68551,Spin,2021-05-17
78,41.51025,-81.67096,Spin,2021-05-17
79,41.50056,-81.68265,Spin,2021-05-17
80,41.45617,-81.72217,Spin,2021-05-17
81,41.4966,-81.69629,Spin,2021-05-17
82,41.5005,-81.68257,Spin,2021-05-17
83,41.50253,-81.69868,Spin,2021-05-17
84,41.49083,-81.67724,Spin,2021-05-17
85,41.50929,-81.60505,Spin,2021-05-17
86,41.49148,-81.7113,Spin,2021-05-17
87,41.50409,-81.63273,Spin,2021-05-17
88,41.48411,-81.74927,Spin,2021-05-17
89,41.52073,-81.6083,Spin,2021-05-17
90,41.4807,-81.71175,Spin,2021-05-17
91,41.49273,-81.68682,Spin,2021-05-17
92,41.48571,-81.70502,Spin,2021-05-17
93,41.47565,-81.69119,Spin,2021-05-17
94,41.49552,-81.68153,Spin,2021-05-17
95,41.50866,-81.59646,Spin,2021-05-17
96,41.5012,-81.583,Spin,2021-05-17
97,41.47763,-81.68257,Spin,2021-05-17
98,41.48655,-81.70778,Spin,2021-05-17
99,41.4966,-81.69947,Spin,2021-05-17
100,41.49296,-81.71028,Spin,2021-05-17
101,41.48553,-81.70053,Spin,2021-05-17
102,41.50677,-81.67333,Spin,2021-05-17
103,41.50853,-81.69078,Spin,2021-05-17
104,41.50442,-81.69354,Spin,2021-05-17
105,41.50856,-81.62103,Spin,2021-05-17
106,41.48321,-81.59082,Spin,2021-05-17
107,41.49869,-81.68761,Spin,2021-05-17
108,41.50938,-81.69476,Spin,2021-05-17
109,41.48168823968427,-81.68671731905542,Spin,2021-05-17
110,41.5008,-81.68659,Spin,2021-05-17
111,41.50678,-81.67999,Spin,2021-05-17
112,41.50031,-81.68646,Spin,2021-05-17
113,41.47619,-81.76868,Spin,2021-05-17
114,41.50697,-81.68896,Spin,2021-05-17
115,41.48935,-81.7104,Spin,2021-05-17
116,41.47878,-81.73791,Spin,2021-05-17
117,41.50398,-81.67395,Spin,2021-05-17
118,41.47038,-81.69138,Spin,2021-05-17
119,41.47763,-81.68255,Spin,2021-05-17
120,41.50046,-81.69367,Spin,2021-05-17
121,41.50655,-81.69623,Spin,2021-05-17
122,41.50369,-81.67515,Spin,2021-05-17
123,41.49983,-81.68066,Spin,2021-05-17
124,41.50066,-81.6914,Spin,2021-05-17
125,41.50085,-81.68203,Spin,2021-05-17
126,41.50056,-81.68685,Spin,2021-05-17
127,41.50056,-81.68393,Spin,2021-05-17
128,41.4969,-81.69565,Spin,2021-05-17
129,41.50859,-81.59654,Spin,2021-05-17
130,41.50696,-81.68895,Spin,2021-05-17
131,41.5039,-81.60067,Spin,2021-05-17
132,41.47076,-81.6914,Spin,2021-05-17
133,41.50124,-81.60089,Spin,2021-05-17
134,41.50122,-81.60085,Spin,2021-05-17
135,41.50761,-81.66828,Spin,2021-05-17
136,41.509,-81.69274,Spin,2021-05-17
137,41.49907,-81.69517,Spin,2021-05-17
138,41.50395,-81.60071,Spin,2021-05-17
139,41.50056,-81.68283,Spin,2021-05-17
140,41.5006,-81.69651,Spin,2021-05-17
141,41.50148,-81.60322,Spin,2021-05-17
142,41.49926,-81.68403,Spin,2021-05-17
143,41.50337,-81.69542,Spin,2021-05-17
144,41.50722,-81.6493,Spin,2021-05-17
145,41.50193,-81.69408,Spin,2021-05-17
146,41.51063,-81.67678,Spin,2021-05-17
147,41.50015,-81.69282,Spin,2021-05-17
148,41.50445,-81.69401,Spin,2021-05-17
149,41.5039,-81.68561,Spin,2021-05-17
150,41.4837,-81.77015,Spin,2021-05-17
151,41.50055,-81.69429,Spin,2021-05-17
152,41.48336,-81.68777,Spin,2021-05-17
153,41.48007,-81.684,Spin,2021-05-17
154,41.50446,-81.70022,Spin,2021-05-17
155,41.46875,-81.69121,Spin,2021-05-17
156,41.49981,-81.69052,Spin,2021-05-17
157,41.45619,-81.7221,Spin,2021-05-17
158,41.51063,-81.67082,Spin,2021-05-17
159,41.48575,-81.70538,Spin,2021-05-17
160,41.4817,-81.70661,Spin,2021-05-17
161,41.49995,-81.70708,Spin,2021-05-17
162,41.50417,-81.68472,Spin,2021-05-17
163,41.48767,-81.59291,Spin,2021-05-17
164,41.5034,-81.69544,Spin,2021-05-17
165,41.50008,-81.62297,Spin,2021-05-17
166,41.46239,-81.69287,Spin,2021-05-17
167,41.5002,-81.69759,Spin,2021-05-17
168,41.50328,-81.68888,Spin,2021-05-17
169,41.49956,-81.69412,Spin,2021-05-17
170,41.49309,-81.68801,Spin,2021-05-17
171,41.49398,-81.70424,Spin,2021-05-17
172,41.50711,-81.69008,Spin,2021-05-17
173,41.4994,-81.6849,Spin,2021-05-17
174,41.50101,-81.69947,Spin,2021-05-17
175,41.49408,-81.68892,Spin,2021-05-17
176,41.48937,-81.72816,Spin,2021-05-17
177,41.50079,-81.69743,Spin,2021-05-17
178,41.48068,-81.68535,Spin,2021-05-17
179,41.50202,-81.69345,Spin,2021-05-17
180,41.47576,-81.69121,Spin,2021-05-17
181,41.50883,-81.67999,Spin,2021-05-17
182,41.4804,-81.71355,Spin,2021-05-17
183,41.4943,-81.64664,Spin,2021-05-17
184,41.49838,-81.68649,Spin,2021-05-17
185,41.50059,-81.68727,Spin,2021-05-17
186,41.49908,-81.69437,Spin,2021-05-17
187,41.47883,-81.73784,Spin,2021-05-17
188,41.48932,-81.72813,Spin,2021-05-17
189,41.50899,-81.69445,Spin,2021-05-17
190,41.50515,-81.6045,Spin,2021-05-17
191,41.4991,-81.69284,Spin,2021-05-17
192,41.50101,-81.67995,Spin,2021-05-17
193,41.50681,-81.68001,Spin,2021-05-17
194,41.50044,-81.69442,Spin,2021-05-17
195,41.51791,-81.60497,Spin,2021-05-17
196,41.48266,-81.7023,Spin,2021-05-17
197,41.50902,-81.69264,Spin,2021-05-17
198,41.50045,-81.69441,Spin,2021-05-17
199,41.52463,-81.66339,Spin,2021-05-17
200,41.46975,-81.70275,Spin,2021-05-17
201,41.50205,-81.69353,Spin,2021-05-17
202,41.50291,-81.68584,Spin,2021-05-17
203,41.50494,-81.68842,Spin,2021-05-17
204,41.50486,-81.68819,Spin,2021-05-17
205,41.51734,-81.6496,Spin,2021-05-17
206,41.47569,-81.69117,Spin,2021-05-17
207,41.50359,-81.69532,Spin,2021-05-17
208,41.50079,-81.68207,Spin,2021-05-17
209,41.4832,-81.5908,Spin,2021-05-17
210,41.50258,-81.68852,Spin,2021-05-17
211,41.50205,-81.69345,Spin,2021-05-17
212,41.50083,-81.69229,Spin,2021-05-17
213,41.49585,-81.6811,Spin,2021-05-17
214,41.50695,-81.65163,Spin,2021-05-17
215,41.50011,-81.68349,Spin,2021-05-17
216,41.49998,-81.70436,Spin,2021-05-17
217,41.50651,-81.69089,Spin,2021-05-17
218,41.50455,-81.6936,Spin,2021-05-17
219,41.49957,-81.69487,Spin,2021-05-17
220,41.50176,-81.69395,Spin,2021-05-17
221,41.50208,-81.5988,Spin,2021-05-17
222,41.50938,-81.69469,Spin,2021-05-17
223,41.50679,-81.67979,Spin,2021-05-17
224,41.50404,-81.69386,Spin,2021-05-17
225,41.48336,-81.6878,Spin,2021-05-17
226,41.50293,-81.69522,Spin,2021-05-17
227,41.49267,-81.68196,Spin,2021-05-17
228,41.50737,-81.68811,Spin,2021-05-17
229,41.516,-81.6045,Spin,2021-05-17
230,41.50738,-81.68813,Spin,2021-05-17
231,41.50865,-81.60543,Spin,2021-05-17
232,41.50335,-81.69211,Spin,2021-05-17
233,41.50125,-81.678,Spin,2021-05-17
234,41.51624,-81.60286,Spin,2021-05-17
235,41.49981,-81.68387,Spin,2021-05-17
236,41.50282,-81.68594,Spin,2021-05-17
237,41.47331,-81.65771,Spin,2021-05-17
238,41.49634,-81.69647,Spin,2021-05-17
239,41.49962,-81.70244,Spin,2021-05-17
240,41.50205,-81.69347,Spin,2021-05-17
241,41.50037,-81.67405,Spin,2021-05-17
242,41.51258,-81.64956,Spin,2021-05-17
243,41.50246,-81.69767,Spin,2021-05-17
244,41.50481,-81.69182,Spin,2021-05-17
245,41.50764,-81.6774,Spin,2021-05-17
246,41.51061,-81.67677,Spin,2021-05-17
247,41.50882,-81.68001,Spin,2021-05-17
248,41.50287,-81.68873,Spin,2021-05-17
249,41.49384,-81.70417,Spin,2021-05-17
250,41.50096,-81.67712,Spin,2021-05-17
251,41.49586,-81.70625,Spin,2021-05-17
