,Lat,Lon,Operator,Date
0,25.75408150936182,-80.25873298628105,Spin,2021-05-17
1,25.74922,-80.26069,Spin,2021-05-17
2,25.74925,-80.2607,Spin,2021-05-17
3,25.74829,-80.25854,Spin,2021-05-17
4,25.75006,-80.27524,Spin,2021-05-17
5,25.75018,-80.25533,Spin,2021-05-17
6,25.75304,-80.25888,Spin,2021-05-17
7,25.74591,-80.25847,Spin,2021-05-17
8,25.75427,-80.26042,Spin,2021-05-17
9,25.76212,-80.25518,Spin,2021-05-17
10,25.74003,-80.26219,Spin,2021-05-17
11,25.74955,-80.25658,Spin,2021-05-17
12,25.75166,-80.25694,Spin,2021-05-17
13,25.75227,-80.25563,Spin,2021-05-17
14,25.75056,-80.25799,Spin,2021-05-17
15,25.73767,-80.26206,Spin,2021-05-17
16,25.7499,-80.26039,Spin,2021-05-17
17,25.74969,-80.2588,Spin,2021-05-17
18,25.76219,-80.25593,Spin,2021-05-17
19,25.75564,-80.25884,Spin,2021-05-17
20,25.75028,-80.26173,Spin,2021-05-17
21,25.75344,-80.26272,Spin,2021-05-17
22,25.74988,-80.25663,Spin,2021-05-17
23,25.73574,-80.28602,Spin,2021-05-17
24,25.75315,-80.25896,Spin,2021-05-17
25,25.7421,-80.2634,Spin,2021-05-17
26,25.75033,-80.25994,Spin,2021-05-17
27,25.74859,-80.25813,Spin,2021-05-17
28,25.74986,-80.25668,Spin,2021-05-17
29,25.75005,-80.25492,Spin,2021-05-17
30,25.73306,-80.2611,Spin,2021-05-17
31,25.73172,-80.25667,Spin,2021-05-17
32,25.73976,-80.26612,Spin,2021-05-17
33,25.7598,-80.25542,Spin,2021-05-17
34,25.75251,-80.25669,Spin,2021-05-17
35,25.75239,-80.25861,Spin,2021-05-17
36,25.74991,-80.25664,Spin,2021-05-17
37,25.75296,-80.25896,Spin,2021-05-17
38,25.75291,-80.27471,Spin,2021-05-17
39,25.74333,-80.26484,Spin,2021-05-17
40,25.76208,-80.26062,Spin,2021-05-17
41,25.75158,-80.25691,Spin,2021-05-17
42,25.74971,-80.25856,Spin,2021-05-17
43,25.74971,-80.25848,Spin,2021-05-17
44,25.73063,-80.26181,Spin,2021-05-17
45,25.75231,-80.25482,Spin,2021-05-17
46,25.74932,-80.26078,Spin,2021-05-17
47,25.75344,-80.26271,Spin,2021-05-17
48,25.72583,-80.26285,Spin,2021-05-17
49,25.70788,-80.2479,Spin,2021-05-17
50,25.73769,-80.26209,Spin,2021-05-17
51,25.72955,-80.25588,Spin,2021-05-17
52,25.7071,-80.25565,Spin,2021-05-17
53,25.75296,-80.26072,Spin,2021-05-17
54,25.75161,-80.26455,Spin,2021-05-17
55,25.76397,-80.27078,Spin,2021-05-17
56,25.76305,-80.25518,Spin,2021-05-17
57,25.70706,-80.25635,Spin,2021-05-17
58,25.75253,-80.25662,Spin,2021-05-17
59,25.72653,-80.26049,Spin,2021-05-17
60,25.75112,-80.25626,Spin,2021-05-17
61,25.74974,-80.25713,Spin,2021-05-17
62,25.75905,-80.25856,Spin,2021-05-17
63,25.73396,-80.25946,Spin,2021-05-17
64,25.73481,-80.26446,Spin,2021-05-17
65,25.75441,-80.2617,Spin,2021-05-17
66,25.76777,-80.25851,Spin,2021-05-17
67,25.72319,-80.26782,Spin,2021-05-17
68,25.76209,-80.25517,Spin,2021-05-17
69,25.75049,-80.25805,Spin,2021-05-17
70,25.74938,-80.25983,Spin,2021-05-17
71,25.75311,-80.25905,Spin,2021-05-17
72,25.72317,-80.26783,Spin,2021-05-17
73,25.74924,-80.26074,Spin,2021-05-17
74,25.73398,-80.26077,Spin,2021-05-17
75,25.74925,-80.26073,Spin,2021-05-17
76,25.70783,-80.2532,Spin,2021-05-17
77,25.75243,-80.25549,Spin,2021-05-17
78,25.7517,-80.2618,Spin,2021-05-17
79,25.75164,-80.25687,Spin,2021-05-17
80,25.76445,-80.26051,Spin,2021-05-17
81,25.75496,-80.26262,Spin,2021-05-17
82,25.75265,-80.25504,Spin,2021-05-17
83,25.75297,-80.2608,Spin,2021-05-17
84,25.75442,-80.25999,Spin,2021-05-17
