,Lat,Lon,Operator,Date
0,36.06626291006913,-94.16630822695522,Spin,2021-05-17
1,36.06644,-94.16753,Spin,2021-05-17
2,36.0793,-94.17768,Spin,2021-05-17
3,36.06381,-94.17124,Spin,2021-05-17
4,36.05285,-94.16659,Spin,2021-05-17
5,36.07498,-94.16742,Spin,2021-05-17
6,36.07237,-94.16158,Spin,2021-05-17
7,36.08353,-94.1634,Spin,2021-05-17
8,36.08458,-94.16124,Spin,2021-05-17
9,36.06782,-94.17579,Spin,2021-05-17
10,36.0668,-94.16269,Spin,2021-05-17
11,36.06783,-94.17578,Spin,2021-05-17
12,36.08113,-94.17804,Spin,2021-05-17
13,36.05446,-94.18511,Spin,2021-05-17
14,36.08245,-94.15632,Spin,2021-05-17
15,36.0818,-94.17084,Spin,2021-05-17
16,36.05857,-94.17954,Spin,2021-05-17
17,36.0479,-94.18741,Spin,2021-05-17
18,36.07238,-94.16157,Spin,2021-05-17
19,36.0862,-94.17287,Spin,2021-05-17
20,36.08453,-94.17693,Spin,2021-05-17
21,36.05378,-94.17172,Spin,2021-05-17
22,36.06345,-94.16667,Spin,2021-05-17
23,36.07498,-94.1674,Spin,2021-05-17
24,36.04972,-94.16584,Spin,2021-05-17
25,36.13195,-94.13894,Spin,2021-05-17
26,36.05788,-94.16553,Spin,2021-05-17
27,36.05255,-94.16635,Spin,2021-05-17
28,36.04819,-94.18712,Spin,2021-05-17
29,36.0847,-94.15698,Spin,2021-05-17
30,36.05855,-94.17952,Spin,2021-05-17
31,36.05377,-94.17173,Spin,2021-05-17
32,36.07767,-94.16939,Spin,2021-05-17
33,36.05287,-94.1811,Spin,2021-05-17
34,36.05414,-94.17661,Spin,2021-05-17
35,36.08804,-94.1649,Spin,2021-05-17
36,36.05414,-94.17664,Spin,2021-05-17
37,36.05054,-94.20161,Spin,2021-05-17
38,36.08246,-94.15632,Spin,2021-05-17
39,36.08332,-94.17011,Spin,2021-05-17
40,36.07414,-94.16436,Spin,2021-05-17
41,36.08334,-94.17012,Spin,2021-05-17
42,36.0626,-94.16316,Spin,2021-05-17
43,36.07492,-94.17088,Spin,2021-05-17
44,36.09131,-94.16912,Spin,2021-05-17
45,36.05415,-94.17662,Spin,2021-05-17
46,36.08437,-94.18641,Spin,2021-05-17
47,36.04736,-94.1859,Spin,2021-05-17
48,36.08179,-94.17085,Spin,2021-05-17
49,36.07181,-94.17076,Spin,2021-05-17
50,36.05416,-94.17659,Spin,2021-05-17
51,36.07767,-94.16939,Spin,2021-05-17
52,36.07238,-94.16158,Spin,2021-05-17
53,36.05509,-94.16982,Spin,2021-05-17
54,36.07018,-94.16402,Spin,2021-05-17
55,36.06372,-94.15974,Spin,2021-05-17
56,36.05325,-94.17352,Spin,2021-05-17
57,36.08543,-94.18421,Spin,2021-05-17
58,36.05353,-94.1661,Spin,2021-05-17
59,36.05814,-94.16993,Spin,2021-05-17
60,36.04734,-94.18589,Spin,2021-05-17
61,36.06702,-94.16523,Spin,2021-05-17
62,36.06707,-94.16529,Spin,2021-05-17
63,36.06832,-94.17674,Spin,2021-05-17
64,36.08376,-94.15699,Spin,2021-05-17
65,36.06747,-94.15884,Spin,2021-05-17
66,36.07013,-94.16396,Spin,2021-05-17
67,36.0727,-94.171,Spin,2021-05-17
68,36.08047,-94.17348,Spin,2021-05-17
69,36.05485,-94.17066,Spin,2021-05-17
70,36.05505,-94.18716,Spin,2021-05-17
71,36.06582,-94.16884,Spin,2021-05-17
72,36.04734,-94.18589,Spin,2021-05-17
