,Lat,Lon,Operator,Date
0,37.78104,-122.46699,Spin,2021-05-17
1,37.78671,-122.45158,Spin,2021-05-17
2,37.78247,-122.47184,Spin,2021-05-17
3,37.78898,-122.46246,Spin,2021-05-17
4,37.7822,-122.47971,Spin,2021-05-17
5,37.783,-122.46245,Spin,2021-05-17
6,37.78375,-122.47426,Spin,2021-05-17
7,37.78351,-122.45795,Spin,2021-05-17
8,37.82962,-122.48324,Spin,2021-05-17
9,37.78803,-122.44095,Spin,2021-05-17
10,37.78298,-122.46491,Spin,2021-05-17
11,37.78052,-122.47811,Spin,2021-05-17
12,37.77987,-122.51074,Spin,2021-05-17
13,37.78144,-122.45625,Spin,2021-05-17
14,37.78297,-122.46654,Spin,2021-05-17
15,37.77865,-122.48999,Spin,2021-05-17
16,37.78285,-122.46224,Spin,2021-05-17
17,37.78319,-122.45966,Spin,2021-05-17
18,37.78665,-122.45152,Spin,2021-05-17
19,37.78278,-122.46726,Spin,2021-05-17
20,37.78153,-122.45605,Spin,2021-05-17
21,37.77977,-122.51109,Spin,2021-05-17
22,37.78722,-122.448,Spin,2021-05-17
23,37.78284,-122.46738,Spin,2021-05-17
24,37.78063,-122.47569,Spin,2021-05-17
25,37.78123,-122.45708,Spin,2021-05-17
26,37.77986,-122.51073,Spin,2021-05-17
27,37.78315,-122.46105,Spin,2021-05-17
28,37.78286,-122.46737,Spin,2021-05-17
29,37.78042,-122.47661,Spin,2021-05-17
30,37.78301,-122.46347,Spin,2021-05-17
31,37.78155,-122.45613,Spin,2021-05-17
32,37.78618,-122.4534,Spin,2021-05-17
33,37.78297,-122.46245,Spin,2021-05-17
34,37.78139,-122.45635,Spin,2021-05-17
35,37.78289,-122.4681,Spin,2021-05-17
36,37.7809,-122.44521,Spin,2021-05-17
37,37.78761,-122.45219,Spin,2021-05-17
38,37.78304,-122.4639,Spin,2021-05-17
39,37.783,-122.46488,Spin,2021-05-17
40,37.78499,-122.47323,Spin,2021-05-17
41,37.78048,-122.479,Spin,2021-05-17
42,37.78721,-122.448,Spin,2021-05-17
43,37.78035,-122.47656,Spin,2021-05-17
44,37.77279,-122.48079,Spin,2021-05-17
45,37.78121,-122.45911,Spin,2021-05-17
46,37.78285,-122.46122,Spin,2021-05-17
47,37.7803,-122.47758,Spin,2021-05-17
48,37.78285,-122.46705,Spin,2021-05-17
49,37.78067,-122.47531,Spin,2021-05-17
50,37.78359,-122.47413,Spin,2021-05-17
51,37.78276,-122.46329,Spin,2021-05-17
52,37.77987,-122.51078,Spin,2021-05-17
53,37.78361,-122.47412,Spin,2021-05-17
54,37.77473,-122.44294,Spin,2021-05-17
55,37.78093,-122.46904,Spin,2021-05-17
56,37.78282,-122.46126,Spin,2021-05-17
57,37.7807,-122.47536,Spin,2021-05-17
58,37.7831,-122.45947,Spin,2021-05-17
59,37.77349,-122.44761,Spin,2021-05-17
60,37.78185,-122.44557,Spin,2021-05-17
61,37.77378,-122.46594,Spin,2021-05-17
62,37.78471,-122.46659,Spin,2021-05-17
63,37.80505,-122.44854,Spin,2021-05-17
64,37.78311,-122.45945,Spin,2021-05-17
65,37.80501,-122.43212,Spin,2021-05-17
66,37.78471,-122.46998,Spin,2021-05-17
67,37.78299,-122.46321,Spin,2021-05-17
68,37.78286,-122.46811,Spin,2021-05-17
69,37.78471,-122.46991,Spin,2021-05-17
70,37.78550772465572,-122.4400692154862,Spin,2021-05-17
71,37.7881,-122.44087,Spin,2021-05-17
72,37.78004,-122.48302,Spin,2021-05-17
73,37.78288,-122.46398,Spin,2021-05-17
74,37.78265,-122.44606,Spin,2021-05-17
75,37.78616,-122.45343,Spin,2021-05-17
76,37.77373,-122.46587,Spin,2021-05-17
77,37.78381,-122.4742,Spin,2021-05-17
78,37.7825,-122.4718,Spin,2021-05-17
79,37.7792,-122.43868,Spin,2021-05-17
80,37.77509,-122.46832,Spin,2021-05-17
81,37.77973,-122.51113,Spin,2021-05-17
82,37.78219,-122.44788,Spin,2021-05-17
83,37.78289,-122.464,Spin,2021-05-17
84,37.77868,-122.48996,Spin,2021-05-17
85,37.78342,-122.45912,Spin,2021-05-17
86,37.78315,-122.45952,Spin,2021-05-17
87,37.78098,-122.46909,Spin,2021-05-17
88,37.78129,-122.45709,Spin,2021-05-17
89,37.78299,-122.46486,Spin,2021-05-17
90,37.78388,-122.44252,Spin,2021-05-17
91,37.78103,-122.46709,Spin,2021-05-17
92,37.80505,-122.44856,Spin,2021-05-17
93,37.78126,-122.45611,Spin,2021-05-17
94,37.78265,-122.44607,Spin,2021-05-17
95,37.78022,-122.48348,Spin,2021-05-17
96,37.78042,-122.47544,Spin,2021-05-17
97,37.78091,-122.46389,Spin,2021-05-17
98,37.78287,-122.46352,Spin,2021-05-17
99,37.78339,-122.45916,Spin,2021-05-17
100,37.78399,-122.45274,Spin,2021-05-17
101,37.78191,-122.44754,Spin,2021-05-17
102,37.78277,-122.46735,Spin,2021-05-17
103,37.78322,-122.45961,Spin,2021-05-17
104,37.78176,-122.4537,Spin,2021-05-17
105,37.78291,-122.46712,Spin,2021-05-17
106,37.78232,-122.47977,Spin,2021-05-17
107,37.78305,-122.46269,Spin,2021-05-17
108,37.77582,-122.43801,Spin,2021-05-17
109,37.78113,-122.46601,Spin,2021-05-17
110,37.77987,-122.51076,Spin,2021-05-17
111,37.78266,-122.44612,Spin,2021-05-17
112,37.78266,-122.47036,Spin,2021-05-17
113,37.78189,-122.48274,Spin,2021-05-17
114,37.78281,-122.46726,Spin,2021-05-17
115,37.77884,-122.48781,Spin,2021-05-17
116,37.78658,-122.45164,Spin,2021-05-17
117,37.78045,-122.47899,Spin,2021-05-17
118,37.78092,-122.44539,Spin,2021-05-17
119,37.77259,-122.50018,Spin,2021-05-17
120,37.78318,-122.45967,Spin,2021-05-17
121,37.77992,-122.51075,Spin,2021-05-17
122,37.78138,-122.45614,Spin,2021-05-17
123,37.7804,-122.48098,Spin,2021-05-17
124,37.78264,-122.44611,Spin,2021-05-17
125,37.78173,-122.49078,Spin,2021-05-17
126,37.78513,-122.47312,Spin,2021-05-17
127,37.77574,-122.47046,Spin,2021-05-17
128,37.78803,-122.44095,Spin,2021-05-17
129,37.78226,-122.47972,Spin,2021-05-17
130,37.78289,-122.46124,Spin,2021-05-17
131,37.78222,-122.47968,Spin,2021-05-17
132,37.77972,-122.51116,Spin,2021-05-17
133,37.78039,-122.47543,Spin,2021-05-17
134,37.78653,-122.45164,Spin,2021-05-17
135,37.78175,-122.45368,Spin,2021-05-17
136,37.78276,-122.46325,Spin,2021-05-17
137,37.78247,-122.4771,Spin,2021-05-17
138,37.77625,-122.48536,Spin,2021-05-17
139,37.78625,-122.45333,Spin,2021-05-17
