,Lat,Lon,Operator,Date
0,27.94465,-82.44624,Spin,2021-05-17
1,27.9509249522403,-82.45953260541924,Spin,2021-05-17
2,27.95183,-82.44802,Spin,2021-05-17
3,27.94112897012233,-82.4550071059112,Spin,2021-05-17
4,27.944773,-82.4673216,Spin,2021-05-17
5,27.9307096,-82.4783352,Spin,2021-05-17
6,27.94356719604468,-82.465371436188,Spin,2021-05-17
7,27.9437073,-82.4658343,Spin,2021-05-17
8,27.96033387260356,-82.46338685456537,Spin,2021-05-17
9,27.94832059719706,-82.47815438299689,Spin,2021-05-17
10,27.98097,-82.48432,Spin,2021-05-17
11,27.99394,-82.39652,Spin,2021-05-17
12,27.94569,-82.45609,Spin,2021-05-17
13,27.94409,-82.47907,Spin,2021-05-17
14,27.94191,-82.45775,Spin,2021-05-17
15,27.93734,-82.48322,Spin,2021-05-17
16,27.94286,-82.48265,Spin,2021-05-17
17,27.95145,-82.44613,Spin,2021-05-17
18,27.95051,-82.44697,Spin,2021-05-17
19,27.96672,-82.48134,Spin,2021-05-17
20,27.95479,-82.45829,Spin,2021-05-17
21,27.98906,-82.43732,Spin,2021-05-17
22,27.94433,-82.46738,Spin,2021-05-17
23,27.91802,-82.49167,Spin,2021-05-17
24,27.92999,-82.48312,Spin,2021-05-17
25,27.95941,-82.43915,Spin,2021-05-17
26,27.94772,-82.44712,Spin,2021-05-17
27,27.99494,-82.43426,Spin,2021-05-17
28,27.95377,-82.4746,Spin,2021-05-17
29,27.96016,-82.46234,Spin,2021-05-17
30,27.94117,-82.45292,Spin,2021-05-17
31,27.94465,-82.47968,Spin,2021-05-17
32,27.95815,-82.43745,Spin,2021-05-17
33,27.99403,-82.39664,Spin,2021-05-17
34,27.95942,-82.43797,Spin,2021-05-17
35,27.94976,-82.44759,Spin,2021-05-17
36,27.93247,-82.48342,Spin,2021-05-17
37,27.95091,-82.46083,Spin,2021-05-17
38,27.94495,-82.44738,Spin,2021-05-17
39,27.95092,-82.46082,Spin,2021-05-17
40,27.91549,-82.45293,Spin,2021-05-17
41,27.93855,-82.45253,Spin,2021-05-17
42,27.94988,-82.4611,Spin,2021-05-17
43,27.92707,-82.4542,Spin,2021-05-17
44,27.94313,-82.47316,Spin,2021-05-17
45,27.93812,-82.44996,Spin,2021-05-17
46,27.97268,-82.42716,Spin,2021-05-17
47,27.9412,-82.4771,Spin,2021-05-17
48,27.96034,-82.46107,Spin,2021-05-17
49,27.94599,-82.46309,Spin,2021-05-17
50,27.93482,-82.48309,Spin,2021-05-17
51,27.93991,-82.48193,Spin,2021-05-17
52,27.89409,-82.48751,Spin,2021-05-17
53,27.965245,-82.4729554,Spin,2021-05-17
54,27.94088,-82.47759,Spin,2021-05-17
55,27.94382,-82.47143,Spin,2021-05-17
56,27.93437,-82.47696,Spin,2021-05-17
57,27.94982,-82.46113,Spin,2021-05-17
58,27.95131,-82.45681,Spin,2021-05-17
59,27.96734,-82.44922,Spin,2021-05-17
60,27.94337,-82.4483,Spin,2021-05-17
61,27.94068,-82.48719,Spin,2021-05-17
62,27.94337,-82.44829,Spin,2021-05-17
63,27.96242,-82.47371,Spin,2021-05-17
64,27.94989,-82.46111,Spin,2021-05-17
65,27.95129,-82.45682,Spin,2021-05-17
66,27.96241,-82.47371,Spin,2021-05-17
67,27.92893,-82.48656,Spin,2021-05-17
68,27.95542,-82.45499,Spin,2021-05-17
69,27.95128,-82.4568,Spin,2021-05-17
70,27.93676,-82.48092,Spin,2021-05-17
71,27.96214,-82.43888,Spin,2021-05-17
72,27.94454,-82.46376,Spin,2021-05-17
73,27.93485,-82.4979,Spin,2021-05-17
74,27.96242,-82.4656,Spin,2021-05-17
75,27.94446,-82.46746,Spin,2021-05-17
76,27.95949,-82.43796,Spin,2021-05-17
77,27.93658,-82.47479,Spin,2021-05-17
78,27.96757,-82.43329,Spin,2021-05-17
79,27.94525,-82.47823,Spin,2021-05-17
80,27.94117,-82.45444,Spin,2021-05-17
81,27.95664,-82.43672,Spin,2021-05-17
82,27.94848,-82.45762,Spin,2021-05-17
83,27.94745,-82.44577,Spin,2021-05-17
84,27.9499,-82.46113,Spin,2021-05-17
85,27.94817,-82.44583,Spin,2021-05-17
86,27.95004,-82.44886,Spin,2021-05-17
87,27.96054,-82.46274,Spin,2021-05-17
88,27.95788,-82.45467,Spin,2021-05-17
89,27.94982,-82.4611,Spin,2021-05-17
90,27.94448,-82.46529,Spin,2021-05-17
91,27.97338,-82.46345,Spin,2021-05-17
92,27.95006,-82.44879,Spin,2021-05-17
93,27.93522,-82.4814,Spin,2021-05-17
94,27.93876241510972,-82.45218841287522,Spin,2021-05-17
95,27.97912,-82.43237,Spin,2021-05-17
96,27.94836,-82.44672,Spin,2021-05-17
97,27.98455,-82.4757,Spin,2021-05-17
98,27.97338,-82.46344,Spin,2021-05-17
99,27.95947,-82.44418,Spin,2021-05-17
100,27.96735,-82.46094,Spin,2021-05-17
101,27.96113,-82.44047,Spin,2021-05-17
102,27.9192,-82.49154,Spin,2021-05-17
103,27.96469,-82.45741,Spin,2021-05-17
104,27.92717,-82.48472,Spin,2021-05-17
105,27.97414,-82.44403,Spin,2021-05-17
106,27.96364,-82.43559,Spin,2021-05-17
107,27.95953,-82.44627,Spin,2021-05-17
108,27.9624,-82.46479,Spin,2021-05-17
109,27.962,-82.46225,Spin,2021-05-17
110,27.96123,-82.43951,Spin,2021-05-17
111,27.93682,-82.47063,Spin,2021-05-17
112,27.96545,-82.45943,Spin,2021-05-17
113,27.93811,-82.45105,Spin,2021-05-17
114,27.96366,-82.43559,Spin,2021-05-17
115,27.94847,-82.44677,Spin,2021-05-17
116,27.96171,-82.49085,Spin,2021-05-17
117,27.9412,-82.45294,Spin,2021-05-17
118,27.94984,-82.46115,Spin,2021-05-17
119,27.9441,-82.4457,Spin,2021-05-17
120,27.94103,-82.45457,Spin,2021-05-17
121,27.98934,-82.42077,Spin,2021-05-17
122,27.95964,-82.46245,Spin,2021-05-17
123,27.95386,-82.46965,Spin,2021-05-17
124,27.95013,-82.46306,Spin,2021-05-17
125,27.94984,-82.46115,Spin,2021-05-17
126,27.95963,-82.46245,Spin,2021-05-17
127,27.92866,-82.48329,Spin,2021-05-17
128,27.98065,-82.44542,Spin,2021-05-17
129,27.95027,-82.46129,Spin,2021-05-17
130,27.94161,-82.47873,Spin,2021-05-17
131,27.96072896597502,-82.46271052778467,Spin,2021-05-17
132,27.94486,-82.48098,Spin,2021-05-17
133,27.94832,-82.45826,Spin,2021-05-17
134,27.93846,-82.45265,Spin,2021-05-17
135,27.94908,-82.45763,Spin,2021-05-17
136,27.96266,-82.45135,Spin,2021-05-17
137,27.94773,-82.45794,Spin,2021-05-17
138,27.93797,-82.47999,Spin,2021-05-17
139,27.94834,-82.45823,Spin,2021-05-17
140,27.96593,-82.46427,Spin,2021-05-17
141,27.96215,-82.44682,Spin,2021-05-17
142,27.94984,-82.46108,Spin,2021-05-17
143,27.941,-82.45458,Spin,2021-05-17
144,27.94106,-82.45462,Spin,2021-05-17
145,27.93726,-82.47096,Spin,2021-05-17
146,27.94455,-82.46941,Spin,2021-05-17
147,27.93737,-82.47576,Spin,2021-05-17
148,27.94105,-82.4546,Spin,2021-05-17
149,27.94454,-82.46657,Spin,2021-05-17
150,27.92861,-82.48328,Spin,2021-05-17
151,27.93637,-82.48113,Spin,2021-05-17
152,27.95036,-82.44671,Spin,2021-05-17
153,27.94618,-82.45896,Spin,2021-05-17
154,27.96738,-82.46092,Spin,2021-05-17
155,27.93876,-82.48193,Spin,2021-05-17
156,27.94335,-82.44834,Spin,2021-05-17
157,27.95077478905666,-82.44878361621902,Spin,2021-05-17
158,27.98875,-82.45496,Spin,2021-05-17
159,27.95204,-82.48616,Spin,2021-05-17
160,27.98872,-82.45491,Spin,2021-05-17
161,27.93695,-82.4821,Spin,2021-05-17
162,27.95218,-82.46835,Spin,2021-05-17
163,27.9624,-82.47372,Spin,2021-05-17
164,27.95156,-82.45952,Spin,2021-05-17
165,27.95201,-82.47581,Spin,2021-05-17
166,27.95942,-82.43791,Spin,2021-05-17
167,27.96052,-82.50154,Spin,2021-05-17
168,27.95273,-82.48513,Spin,2021-05-17
169,27.94103,-82.45457,Spin,2021-05-17
170,27.94902,-82.45751,Spin,2021-05-17
171,27.94895,-82.45747,Spin,2021-05-17
172,27.94478,-82.472,Spin,2021-05-17
173,27.9624,-82.4737,Spin,2021-05-17
174,27.94457,-82.46942,Spin,2021-05-17
175,27.94936,-82.49543,Spin,2021-05-17
176,27.95941,-82.48319,Spin,2021-05-17
177,27.95604,-82.45371,Spin,2021-05-17
178,27.94776,-82.4576,Spin,2021-05-17
179,27.95931,-82.44298,Spin,2021-05-17
180,27.96422,-82.46717,Spin,2021-05-17
181,27.95128,-82.46887,Spin,2021-05-17
182,27.94534,-82.47572,Spin,2021-05-17
183,27.94037,-82.48567,Spin,2021-05-17
184,27.93266,-82.46029,Spin,2021-05-17
185,27.95056,-82.48086,Spin,2021-05-17
186,27.9593,-82.44298,Spin,2021-05-17
187,27.9639,-82.43785,Spin,2021-05-17
188,27.95932,-82.443,Spin,2021-05-17
189,27.94824,-82.4592,Spin,2021-05-17
190,27.93509,-82.48309,Spin,2021-05-17
191,27.9639,-82.43785,Spin,2021-05-17
192,27.94722,-82.45277,Spin,2021-05-17
193,27.96882,-82.42684,Spin,2021-05-17
194,27.92454,-82.4861,Spin,2021-05-17
195,27.95148,-82.44757,Spin,2021-05-17
196,27.95805,-82.43871,Spin,2021-05-17
197,27.94477,-82.47247,Spin,2021-05-17
198,27.95003,-82.43032,Spin,2021-05-17
199,27.9509,-82.46083,Spin,2021-05-17
200,27.96225051398199,-82.46684331454566,Spin,2021-05-17
201,27.95055,-82.46102,Spin,2021-05-17
202,27.96689,-82.42279,Spin,2021-05-17
203,27.95153,-82.49338,Spin,2021-05-17
204,27.94905,-82.45761,Spin,2021-05-17
