,Lat,Lon,Operator,Date
0,38.89791,-77.00463,Spin,2021-05-17
1,38.90694,-77.00186,Spin,2021-05-17
2,38.90366,-77.06738,Spin,2021-05-17
3,38.88374905814845,-77.02504921091561,Spin,2021-05-17
4,38.87209875978424,-77.00651904575247,Spin,2021-05-17
5,38.9025922,-77.0414529,Spin,2021-05-17
6,38.91349,-76.98951,Spin,2021-05-17
7,38.9075042,-77.0448522,Spin,2021-05-17
8,38.91348,-76.98949,Spin,2021-05-17
9,38.8543133,-76.991645,Spin,2021-05-17
10,38.88454,-77.02602,Spin,2021-05-17
11,38.9043251068333,-77.07007645693159,Spin,2021-05-17
12,38.89796,-77.00554,Spin,2021-05-17
13,38.91323,-76.98924,Spin,2021-05-17
14,38.89919,-77.03213,Spin,2021-05-17
15,38.91415,-77.01891,Spin,2021-05-17
16,38.908,-77.00343,Spin,2021-05-17
17,38.89227,-77.03335,Spin,2021-05-17
18,38.89936,-76.946,Spin,2021-05-17
19,38.9137,-76.98922,Spin,2021-05-17
20,38.91855,-77.04496,Spin,2021-05-17
21,38.90729,-77.03079,Spin,2021-05-17
22,38.914,-77.01885,Spin,2021-05-17
23,38.91541,-77.02228,Spin,2021-05-17
24,38.91338,-76.98956,Spin,2021-05-17
25,38.91826,-77.03149,Spin,2021-05-17
26,38.9135,-76.98959,Spin,2021-05-17
27,38.91419,-77.01889,Spin,2021-05-17
28,38.92764,-77.03242,Spin,2021-05-17
29,38.8999,-77.02626,Spin,2021-05-17
30,38.88744,-77.02781,Spin,2021-05-17
31,38.91553,-77.02491,Spin,2021-05-17
32,38.90259,-77.00328,Spin,2021-05-17
33,38.91091,-77.07355,Spin,2021-05-17
34,38.87623,-77.00415,Spin,2021-05-17
35,38.91946,-77.01664,Spin,2021-05-17
36,38.90261,-77.04144,Spin,2021-05-17
37,38.88744,-77.02631,Spin,2021-05-17
38,38.91265,-77.02761,Spin,2021-05-17
39,38.91929,-77.03427,Spin,2021-05-17
40,38.8861,-77.03008,Spin,2021-05-17
41,38.8743,-77.00074,Spin,2021-05-17
42,38.8627,-76.9954,Spin,2021-05-17
43,38.88485,-77.00051,Spin,2021-05-17
44,38.88007,-77.01258,Spin,2021-05-17
45,38.8627,-76.99536,Spin,2021-05-17
46,38.88124,-77.01276,Spin,2021-05-17
47,38.91683,-77.02312,Spin,2021-05-17
48,38.87915,-77.00586,Spin,2021-05-17
49,38.9136,-77.04554,Spin,2021-05-17
50,38.9027,-77.03229,Spin,2021-05-17
51,38.92065,-77.03198,Spin,2021-05-17
52,38.89574,-76.96891,Spin,2021-05-17
53,38.8627,-76.99538,Spin,2021-05-17
54,38.90004,-77.03192,Spin,2021-05-17
55,38.90809,-77.03885,Spin,2021-05-17
56,38.90255,-77.03972,Spin,2021-05-17
57,38.88494,-77.02379,Spin,2021-05-17
58,38.88498,-77.02626,Spin,2021-05-17
59,38.87687,-77.01434,Spin,2021-05-17
60,38.87444,-77.00055,Spin,2021-05-17
61,38.88747,-77.02782,Spin,2021-05-17
62,38.90781,-77.03794,Spin,2021-05-17
63,38.89898,-76.93859,Spin,2021-05-17
64,38.89743,-77.03335,Spin,2021-05-17
65,38.8805,-77.02192,Spin,2021-05-17
66,38.90687,-77.0633,Spin,2021-05-17
67,38.9297,-77.02788,Spin,2021-05-17
68,38.89063,-76.9984,Spin,2021-05-17
69,38.9118,-77.02056,Spin,2021-05-17
70,38.91347,-77.03991,Spin,2021-05-17
71,38.91351,-77.03988,Spin,2021-05-17
72,38.91705,-77.02935,Spin,2021-05-17
73,38.91347,-77.03961,Spin,2021-05-17
74,38.90469,-77.02951,Spin,2021-05-17
75,38.89208,-76.99386,Spin,2021-05-17
76,38.91273,-77.04502,Spin,2021-05-17
77,38.88136,-77.02004,Spin,2021-05-17
78,38.9061,-77.0661,Spin,2021-05-17
79,38.88491,-77.01823,Spin,2021-05-17
80,38.88509,-77.02094,Spin,2021-05-17
81,38.9026,-77.03234,Spin,2021-05-17
82,38.91868,-77.04161,Spin,2021-05-17
83,38.89748,-77.03349,Spin,2021-05-17
84,38.87844,-77.0227,Spin,2021-05-17
85,38.87582,-77.00561,Spin,2021-05-17
86,38.89191,-76.98558,Spin,2021-05-17
87,38.88124,-77.01296,Spin,2021-05-17
88,38.91813,-77.01271,Spin,2021-05-17
89,38.89563,-77.03221,Spin,2021-05-17
90,38.91273,-77.04762,Spin,2021-05-17
91,38.90501,-77.02509,Spin,2021-05-17
92,38.91415,-77.01055,Spin,2021-05-17
93,38.89745,-77.03338,Spin,2021-05-17
94,38.89479,-77.02119,Spin,2021-05-17
95,38.91479,-77.06151,Spin,2021-05-17
96,38.93563,-77.03263,Spin,2021-05-17
97,38.9015,-76.99263,Spin,2021-05-17
98,38.89534,-77.0317,Spin,2021-05-17
99,38.93239,-77.03085,Spin,2021-05-17
100,38.91603,-77.03797,Spin,2021-05-17
101,38.91972,-77.03318,Spin,2021-05-17
102,38.90265,-77.01761,Spin,2021-05-17
103,38.90121,-77.01602,Spin,2021-05-17
104,38.92266,-77.04244,Spin,2021-05-17
105,38.91447,-77.04596,Spin,2021-05-17
106,38.9042,-77.05341,Spin,2021-05-17
107,38.88578,-77.01981,Spin,2021-05-17
108,38.90944,-77.05453,Spin,2021-05-17
109,38.89591,-77.04464,Spin,2021-05-17
110,38.9057,-77.02666,Spin,2021-05-17
111,38.89964,-77.04599,Spin,2021-05-17
112,38.91718,-77.04676,Spin,2021-05-17
113,38.90892,-77.01216,Spin,2021-05-17
114,38.89226,-77.0416,Spin,2021-05-17
115,38.91135,-77.05719,Spin,2021-05-17
116,38.87534,-77.00391,Spin,2021-05-17
117,38.90118,-77.04627,Spin,2021-05-17
118,38.90132,-77.04595,Spin,2021-05-17
119,38.90041,-76.99836,Spin,2021-05-17
120,38.91111,-77.03654,Spin,2021-05-17
121,38.90507,-77.03438,Spin,2021-05-17
122,38.885,-77.00899,Spin,2021-05-17
123,38.89499,-77.02722,Spin,2021-05-17
124,38.91848,-77.07006,Spin,2021-05-17
125,38.89928,-76.99737,Spin,2021-05-17
126,38.90731,-77.02509,Spin,2021-05-17
127,38.89355,-77.02212,Spin,2021-05-17
128,38.96684,-77.03124,Spin,2021-05-17
129,38.87389,-77.00116,Spin,2021-05-17
130,38.94564,-77.07115,Spin,2021-05-17
131,38.92275,-77.04249,Spin,2021-05-17
132,38.91697,-77.02301,Spin,2021-05-17
133,38.9287,-77.02835,Spin,2021-05-17
134,38.9283,-77.06319,Spin,2021-05-17
135,38.94335,-77.06354,Spin,2021-05-17
136,38.92971,-77.03141,Spin,2021-05-17
137,38.9028,-77.03649,Spin,2021-05-17
138,38.88599,-76.99041,Spin,2021-05-17
139,38.94321,-77.07288,Spin,2021-05-17
140,38.89221,-77.0406,Spin,2021-05-17
141,38.90036,-77.00204,Spin,2021-05-17
