,Lat,Lon,Operator,Date
0,47.51188,-122.35126,Spin,2021-05-17
1,47.51554,-122.35093,Spin,2021-05-17
2,47.50848,-122.35502,Spin,2021-05-17
3,47.51199,-122.35126,Spin,2021-05-17
4,47.51643,-122.32067,Spin,2021-05-17
5,47.50834,-122.35407,Spin,2021-05-17
6,47.50315,-122.34086,Spin,2021-05-17
7,47.51556,-122.3452,Spin,2021-05-17
8,47.51698,-122.34529,Spin,2021-05-17
9,47.50285,-122.35494,Spin,2021-05-17
10,47.5156,-122.35414,Spin,2021-05-17
11,47.51452,-122.35407,Spin,2021-05-17
12,47.5157,-122.3553,Spin,2021-05-17
13,47.51227,-122.34495,Spin,2021-05-17
14,47.51522,-122.34237,Spin,2021-05-17
15,47.49934,-122.34071,Spin,2021-05-17
16,47.50851,-122.35909,Spin,2021-05-17
17,47.51573,-122.35526,Spin,2021-05-17
18,47.51555,-122.34526,Spin,2021-05-17
19,47.50863,-122.33712,Spin,2021-05-17
20,47.50846,-122.35497,Spin,2021-05-17
21,47.51615,-122.34848,Spin,2021-05-17
22,47.51202,-122.3513,Spin,2021-05-17
23,47.51451,-122.35414,Spin,2021-05-17
