,Lat,Lon,Operator,Date
0,38.90133,-77.042395,Bird,2021-05-19
1,38.936529,-77.024483,Bird,2021-05-19
2,38.935085,-77.023972,Bird,2021-05-19
3,38.911563,-77.06527,Bird,2021-05-19
4,38.924292,-77.008729,Bird,2021-05-19
5,38.965476,-77.017178,Bird,2021-05-19
6,38.91587,-77.046685,Bird,2021-05-19
7,38.921315,-77.04412,Bird,2021-05-19
8,38.864166,-77.0121,Bird,2021-05-19
9,38.88402,-76.986031,Bird,2021-05-19
10,38.885732,-76.977447,Bird,2021-05-19
11,38.924278,-77.008707,Bird,2021-05-19
12,38.939346,-77.093972,Bird,2021-05-19
13,38.883148,-77.023942,Bird,2021-05-19
14,38.92268,-77.055977,Bird,2021-05-19
15,38.916263,-77.022225,Bird,2021-05-19
16,38.924279,-77.008713,Bird,2021-05-19
17,38.895336,-77.009194,Bird,2021-05-19
18,38.937381,-77.032777,Bird,2021-05-19
19,38.91549,-77.011605,Bird,2021-05-19
20,38.922916,-77.023514,Bird,2021-05-19
21,38.913548,-77.025911,Bird,2021-05-19
22,38.903056,-77.053254,Bird,2021-05-19
23,38.929363,-77.032599,Bird,2021-05-19
24,38.871463,-77.006298,Bird,2021-05-19
25,38.89745,-77.003419,Bird,2021-05-19
26,38.87862,-77.022874,Bird,2021-05-19
27,38.929863,-77.055278,Bird,2021-05-19
28,38.910148,-77.027223,Bird,2021-05-19
29,38.858848,-76.985344,Bird,2021-05-19
30,38.931912,-77.03469,Bird,2021-05-19
31,38.918533,-77.009194,Bird,2021-05-19
32,38.897411,-76.947289,Bird,2021-05-19
33,38.890156,-76.937373,Bird,2021-05-19
34,38.898604,-76.998399,Bird,2021-05-19
35,38.91277,-77.064179,Bird,2021-05-19
36,38.949768,-77.066902,Bird,2021-05-19
37,38.929891,-77.055338,Bird,2021-05-19
38,38.916816,-77.02713,Bird,2021-05-19
39,38.941093,-77.02642,Bird,2021-05-19
40,38.923343,-77.043815,Bird,2021-05-19
41,38.902165,-77.034707,Bird,2021-05-19
42,38.919936,-77.021775,Bird,2021-05-19
43,38.91092,-77.038414,Bird,2021-05-19
44,38.911255,-76.996605,Bird,2021-05-19
45,38.902648,-77.063279,Bird,2021-05-19
46,38.892237,-77.039851,Bird,2021-05-19
47,38.877345,-77.004575,Bird,2021-05-19
48,38.892339,-77.013659,Bird,2021-05-19
49,38.89226,-77.043615,Bird,2021-05-19
50,38.895855,-77.031845,Bird,2021-05-19
51,38.874455,-76.960907,Bird,2021-05-19
52,38.89296,-77.039567,Bird,2021-05-19
53,38.916153,-77.085342,Bird,2021-05-19
54,38.933208,-77.0308,Bird,2021-05-19
55,38.904965,-77.021844,Bird,2021-05-19
56,38.916141,-77.022895,Bird,2021-05-19
57,38.897536,-77.003443,Bird,2021-05-19
58,38.930911,-77.036714,Bird,2021-05-19
59,38.932411,-76.997444,Bird,2021-05-19
60,38.892261,-77.040853,Bird,2021-05-19
61,38.900185,-77.039497,Bird,2021-05-19
62,38.892188,-77.043725,Bird,2021-05-19
63,38.914158,-77.040917,Bird,2021-05-19
64,38.909863,-77.046555,Bird,2021-05-19
65,38.922505,-77.030449,Bird,2021-05-19
66,38.90858,-76.99952,Bird,2021-05-19
67,38.901565,-77.039535,Bird,2021-05-19
68,38.884868,-77.034745,Bird,2021-05-19
69,38.914791,-77.0662,Bird,2021-05-19
70,38.892513,-77.02829,Bird,2021-05-19
71,38.8652,-76.989606,Bird,2021-05-19
72,38.943043,-77.069329,Bird,2021-05-19
73,38.918296,-77.040177,Bird,2021-05-19
74,38.905685,-77.043129,Bird,2021-05-19
75,38.88116,-77.026604,Bird,2021-05-19
76,38.937668,-77.024544,Bird,2021-05-19
77,38.892368,-77.043615,Bird,2021-05-19
78,38.88401,-76.986291,Bird,2021-05-19
79,38.898608,-77.01876,Bird,2021-05-19
80,38.940838,-77.063447,Bird,2021-05-19
81,38.901337,-77.042386,Bird,2021-05-19
82,38.874316,-77.001779,Bird,2021-05-19
83,38.884521,-77.008957,Bird,2021-05-19
84,38.903503,-77.019035,Bird,2021-05-19
85,38.879073,-77.022385,Bird,2021-05-19
86,38.90593,-76.981782,Bird,2021-05-19
87,38.934436,-77.089494,Bird,2021-05-19
88,38.900318,-77.01178,Bird,2021-05-19
89,38.924103,-77.008355,Bird,2021-05-19
90,38.924125,-77.056259,Bird,2021-05-19
91,38.892238,-77.033295,Bird,2021-05-19
92,38.923574,-77.050415,Bird,2021-05-19
93,38.892866,-77.013492,Bird,2021-05-19
94,38.864735,-76.989609,Bird,2021-05-19
95,38.887409,-77.031798,Bird,2021-05-19
96,38.895528,-77.042662,Bird,2021-05-19
97,38.884338,-77.025704,Bird,2021-05-19
98,38.916141,-77.08535,Bird,2021-05-19
