,Lat,Lon,Operator,Date
0,41.481545,-81.687112,Bird,2021-05-17
1,41.490986,-81.708107,Bird,2021-05-17
2,41.499198,-81.698327,Bird,2021-05-17
3,41.498195,-81.691155,Bird,2021-05-17
4,41.480483,-81.688447,Bird,2021-05-17
5,41.487293,-81.76844,Bird,2021-05-17
6,41.483475,-81.702995,Bird,2021-05-17
7,41.50365,-81.690475,Bird,2021-05-17
8,41.502578,-81.694687,Bird,2021-05-17
9,41.495844,-81.683007,Bird,2021-05-17
10,41.485683,-81.704636,Bird,2021-05-17
11,41.50045,-81.672775,Bird,2021-05-17
12,41.500343,-81.687089,Bird,2021-05-17
13,41.465121,-81.753342,Bird,2021-05-17
14,41.486808,-81.74318,Bird,2021-05-17
15,41.484691,-81.701515,Bird,2021-05-17
16,41.499496,-81.700959,Bird,2021-05-17
17,41.500876,-81.705247,Bird,2021-05-17
18,41.500724,-81.69146,Bird,2021-05-17
19,41.486061,-81.730347,Bird,2021-05-17
20,41.5019,-81.698253,Bird,2021-05-17
21,41.485795,-81.704632,Bird,2021-05-17
22,41.480698,-81.707092,Bird,2021-05-17
23,41.489403,-81.730217,Bird,2021-05-17
24,41.503318,-81.69564,Bird,2021-05-17
25,41.499855,-81.705064,Bird,2021-05-17
26,41.484988,-81.6904,Bird,2021-05-17
27,41.498939,-81.704377,Bird,2021-05-17
28,41.481276,-81.751816,Bird,2021-05-17
29,41.491126,-81.70845,Bird,2021-05-17
30,41.479694,-81.68489,Bird,2021-05-17
31,41.503108,-81.684044,Bird,2021-05-17
32,41.502544,-81.683517,Bird,2021-05-17
33,41.505318,-81.691079,Bird,2021-05-17
34,41.501346,-81.679047,Bird,2021-05-17
35,41.499396,-81.684967,Bird,2021-05-17
36,41.477523,-81.690484,Bird,2021-05-17
37,41.494991,-81.70594,Bird,2021-05-17
38,41.486496,-81.708832,Bird,2021-05-17
39,41.484306,-81.710007,Bird,2021-05-17
40,41.497863,-81.692224,Bird,2021-05-17
41,41.501571,-81.69976,Bird,2021-05-17
42,41.501216,-81.697405,Bird,2021-05-17
43,41.485233,-81.710732,Bird,2021-05-17
44,41.501743,-81.694077,Bird,2021-05-17
45,41.503033,-81.695237,Bird,2021-05-17
46,41.504588,-81.693719,Bird,2021-05-17
47,41.505768,-81.691567,Bird,2021-05-17
48,41.486553,-81.743356,Bird,2021-05-17
49,41.499031,-81.703895,Bird,2021-05-17
50,41.499203,-81.676025,Bird,2021-05-17
