,Lat,Lon,Operator,Date
0,39.30201,-76.61497,Spin,2021-05-17
1,39.27297,-76.6275,Spin,2021-05-17
2,39.28994,-76.62051,Spin,2021-05-17
3,39.32374193802413,-76.62179262384457,Spin,2021-05-17
4,39.30156,-76.6151,Spin,2021-05-17
5,39.27287,-76.6272,Spin,2021-05-17
6,39.30707016497786,-76.61476506858749,Spin,2021-05-17
7,39.28036,-76.58039,Spin,2021-05-17
8,39.32153,-76.64019,Spin,2021-05-17
9,39.306839,-76.5829531,Spin,2021-05-17
10,39.28605,-76.60812,Spin,2021-05-17
11,39.30263,-76.61894,Spin,2021-05-17
12,39.29537,-76.62668,Spin,2021-05-17
13,39.27971,-76.575,Spin,2021-05-17
14,39.28328,-76.62707,Spin,2021-05-17
15,39.28331,-76.62702,Spin,2021-05-17
16,39.27713,-76.61303,Spin,2021-05-17
17,39.28621,-76.57845,Spin,2021-05-17
18,39.29008,-76.61247,Spin,2021-05-17
19,39.28202,-76.59092,Spin,2021-05-17
20,39.30098,-76.6161,Spin,2021-05-17
21,39.32618,-76.55004,Spin,2021-05-17
22,39.33629,-76.61822,Spin,2021-05-17
23,39.33681,-76.63543,Spin,2021-05-17
24,39.30634,-76.64831,Spin,2021-05-17
25,39.2715,-76.60137,Spin,2021-05-17
26,39.35245,-76.66417,Spin,2021-05-17
27,39.33645,-76.6182,Spin,2021-05-17
28,39.30258,-76.61892,Spin,2021-05-17
29,39.28374,-76.58625,Spin,2021-05-17
30,39.28323,-76.627,Spin,2021-05-17
31,39.2903,-76.5846,Spin,2021-05-17
32,39.28289,-76.62889,Spin,2021-05-17
33,39.28515,-76.58065,Spin,2021-05-17
34,39.27555,-76.61431,Spin,2021-05-17
35,39.31168,-76.63578,Spin,2021-05-17
36,39.28105,-76.57693,Spin,2021-05-17
37,39.32983,-76.61567,Spin,2021-05-17
38,39.28224,-76.57622,Spin,2021-05-17
39,39.27658,-76.61427,Spin,2021-05-17
40,39.297,-76.57223,Spin,2021-05-17
41,39.3501,-76.56347,Spin,2021-05-17
42,39.27289,-76.59217,Spin,2021-05-17
43,39.29335,-76.65199,Spin,2021-05-17
44,39.28496,-76.58676,Spin,2021-05-17
45,39.29822,-76.66113,Spin,2021-05-17
46,39.33844,-76.69115,Spin,2021-05-17
47,39.29019,-76.60413,Spin,2021-05-17
48,39.33783,-76.63957,Spin,2021-05-17
49,39.32732,-76.61613,Spin,2021-05-17
50,39.31904,-76.56745,Spin,2021-05-17
51,39.32983,-76.62116,Spin,2021-05-17
52,39.33968,-76.58218,Spin,2021-05-17
53,39.281,-76.59314,Spin,2021-05-17
54,39.31166,-76.59951,Spin,2021-05-17
55,39.33674,-76.67337,Spin,2021-05-17
56,39.32829,-76.60899,Spin,2021-05-17
