,Lat,Lon,Operator,Date
0,36.1304125,-97.053941,Spin,2021-05-17
1,36.126423,-97.076195,Spin,2021-05-17
2,36.126459,-97.076161,Spin,2021-05-17
3,36.120899,-97.064992,Spin,2021-05-17
4,36.123276,-97.071142,Spin,2021-05-17
5,36.120938,-97.065008,Spin,2021-05-17
6,36.120932,-97.064948,Spin,2021-05-17
7,36.121572,-97.06926,Spin,2021-05-17
8,36.120282,-97.064949,Spin,2021-05-17
9,36.123351,-97.071176,Spin,2021-05-17
10,36.135582,-97.065165,Spin,2021-05-17
11,36.121557,-97.069266,Spin,2021-05-17
12,36.12162,-97.067687,Spin,2021-05-17
13,36.121566,-97.067781,Spin,2021-05-17
14,36.135591,-97.065208,Spin,2021-05-17
15,36.122216,-97.068803,Spin,2021-05-17
16,36.12228,-97.061976,Spin,2021-05-17
17,36.124773,-97.073017,Spin,2021-05-17
18,36.121858,-97.068209,Spin,2021-05-17
19,36.121864,-97.068204,Spin,2021-05-17
20,36.123442,-97.069264,Spin,2021-05-17
21,36.121627,-97.067861,Spin,2021-05-17
22,36.122147,-97.070405,Spin,2021-05-17
23,36.124761,-97.073009,Spin,2021-05-17
24,36.125485,-97.060167,Spin,2021-05-17
25,36.127731,-97.064306,Spin,2021-05-17
26,36.118489,-97.075191,Spin,2021-05-17
27,36.12773,-97.064324,Spin,2021-05-17
28,36.127729,-97.064312,Spin,2021-05-17
29,36.123639,-97.060827,Spin,2021-05-17
30,36.124727,-97.07306,Spin,2021-05-17
31,36.130734,-97.075356,Spin,2021-05-17
32,36.120491,-97.073065,Spin,2021-05-17
33,36.12065,-97.085982,Spin,2021-05-17
34,36.120551,-97.073068,Spin,2021-05-17
35,36.124701,-97.073098,Spin,2021-05-17
36,36.126559,-97.067343,Spin,2021-05-17
37,36.120517,-97.07304,Spin,2021-05-17
38,36.116567,-97.069929,Spin,2021-05-17
39,36.122156,-97.070393,Spin,2021-05-17
40,36.128028,-97.070447,Spin,2021-05-17
41,36.12804,-97.070416,Spin,2021-05-17
42,36.126556,-97.067323,Spin,2021-05-17
43,36.126222,-97.050088,Spin,2021-05-17
44,36.12771,-97.070621,Spin,2021-05-17
45,36.12662,-97.067403,Spin,2021-05-17
46,36.126588,-97.067289,Spin,2021-05-17
47,36.117779,-97.069421,Spin,2021-05-17
48,36.115807,-97.06289,Spin,2021-05-17
49,36.127745,-97.062907,Spin,2021-05-17
50,36.12774,-97.062889,Spin,2021-05-17
51,36.118639,-97.069534,Spin,2021-05-17
52,36.117777,-97.069419,Spin,2021-05-17
53,36.126638,-97.056945,Spin,2021-05-17
54,36.126164,-97.07123,Spin,2021-05-17
55,36.127723,-97.062907,Spin,2021-05-17
56,36.122142,-97.06598,Spin,2021-05-17
57,36.122112,-97.065912,Spin,2021-05-17
58,36.12569,-97.081752,Spin,2021-05-17
59,36.118512,-97.075077,Spin,2021-05-17
60,36.125689,-97.08174,Spin,2021-05-17
61,36.122215,-97.068803,Spin,2021-05-17
62,36.12213,-97.065968,Spin,2021-05-17
63,36.12568,-97.081807,Spin,2021-05-17
64,36.122249,-97.067398,Spin,2021-05-17
65,36.127054,-97.075004,Spin,2021-05-17
66,36.122131,-97.065916,Spin,2021-05-17
67,36.124188,-97.074116,Spin,2021-05-17
68,36.125322,-97.062905,Spin,2021-05-17
69,36.128544,-97.047412,Spin,2021-05-17
70,36.125342,-97.062825,Spin,2021-05-17
71,36.117867,-97.066781,Spin,2021-05-17
72,36.122309,-97.06735,Spin,2021-05-17
73,36.117881,-97.066737,Spin,2021-05-17
74,36.128546,-97.047345,Spin,2021-05-17
75,36.117866,-97.066775,Spin,2021-05-17
76,36.126061,-97.071175,Spin,2021-05-17
77,36.11757,-97.072954,Spin,2021-05-17
78,36.125011,-97.048843,Spin,2021-05-17
79,36.122043,-97.065922,Spin,2021-05-17
80,36.122034,-97.065934,Spin,2021-05-17
81,36.11754,-97.072885,Spin,2021-05-17
82,36.122124,-97.068772,Spin,2021-05-17
83,36.11756,-97.072948,Spin,2021-05-17
84,36.124163,-97.074176,Spin,2021-05-17
85,36.124131,-97.074062,Spin,2021-05-17
86,36.129271,-97.073427,Spin,2021-05-17
87,36.124156,-97.074175,Spin,2021-05-17
88,36.129256,-97.073425,Spin,2021-05-17
89,36.11856,-97.074602,Spin,2021-05-17
90,36.118579,-97.074643,Spin,2021-05-17
91,36.125316,-97.062874,Spin,2021-05-17
92,36.119158,-97.069525,Spin,2021-05-17
93,36.124118,-97.074146,Spin,2021-05-17
94,36.12223,-97.068792,Spin,2021-05-17
95,36.117237,-97.050478,Spin,2021-05-17
96,36.125347,-97.062913,Spin,2021-05-17
97,36.117846,-97.066776,Spin,2021-05-17
98,36.121613,-97.06767,Spin,2021-05-17
99,36.123414,-97.06934,Spin,2021-05-17
100,36.122239,-97.061998,Spin,2021-05-17
101,36.122215,-97.06879,Spin,2021-05-17
102,36.123423,-97.069298,Spin,2021-05-17
103,36.127692,-97.07062,Spin,2021-05-17
104,36.122275,-97.062077,Spin,2021-05-17
105,36.129811,-97.080521,Spin,2021-05-17
106,36.115812,-97.06291,Spin,2021-05-17
107,36.118216,-97.061273,Spin,2021-05-17
108,36.118211,-97.061289,Spin,2021-05-17
109,36.123474,-97.068883,Spin,2021-05-17
110,36.115819,-97.062921,Spin,2021-05-17
111,36.11772,-97.075181,Spin,2021-05-17
112,36.115816,-97.06292,Spin,2021-05-17
113,36.11776,-97.075222,Spin,2021-05-17
114,36.118658,-97.069536,Spin,2021-05-17
115,36.119097,-97.120369,Spin,2021-05-17
116,36.118595,-97.069511,Spin,2021-05-17
117,36.124181,-97.074222,Spin,2021-05-17
118,36.118649,-97.069543,Spin,2021-05-17
119,36.12655,-97.067407,Spin,2021-05-17
120,36.118635,-97.069513,Spin,2021-05-17
121,36.118613,-97.074704,Spin,2021-05-17
122,36.123562,-97.068886,Spin,2021-05-17
123,36.118586,-97.074681,Spin,2021-05-17
124,36.120503,-97.073085,Spin,2021-05-17
125,36.15285,-97.065709,Spin,2021-05-17
126,36.15287,-97.065713,Spin,2021-05-17
127,36.130749,-97.075401,Spin,2021-05-17
128,36.120506,-97.073054,Spin,2021-05-17
129,36.120515,-97.073102,Spin,2021-05-17
130,36.123372,-97.068905,Spin,2021-05-17
131,36.144465,-97.05347,Spin,2021-05-17
132,36.152868,-97.065715,Spin,2021-05-17
133,36.135605,-97.065217,Spin,2021-05-17
134,36.122126,-97.070428,Spin,2021-05-17
135,36.130702,-97.075416,Spin,2021-05-17
136,36.122161,-97.07044,Spin,2021-05-17
137,36.122155,-97.070424,Spin,2021-05-17
138,36.123412,-97.068518,Spin,2021-05-17
